# Ojala.Lake_Nataujärvi.2005
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeNataujrvi.Ojala.2005.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LakeNataujrvi.Ojala.2005.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/8660
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: lake sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Ojala.Lake_Nataujärvi.2005
#------------------
# Investigators
#     Investigators: Ojala, Antti E.K.;Alenius, Teija
#------------------
# Description_Notes_and_Keywords
#     Description: Time series truncated at 1800 CE. Actual measurement is not the thickness of the organic-rich layer as stated in orignial data citation. Instead, a measure of organic content within a year is estimated by the cumulative sum of the dark component of pixels of radiographs for each varve\
#------------------
# Publication
#     Authors: Ojala, Antti E.K.;Alenius, Teija
#     Published_Date_or_Year: 2005
#     Published_Title: 10000 years of interannual sedimentation recorded in the Lake Nautajärvi (Finland) clastic–organic varves
#     Journal_Name: Palaeogeography, Palaeoclimatology, Palaeoecology
#     Volume: 219
#     Edition: 
#     Issue: 
#     Pages: 285-302
#     Report: 
#     DOI: 10.1016/j.palaeo.2005.01.002
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lake Nataujärvi
#     Location: 
#     Country: 
#     Northernmost_Latitude: 61.81
#     Southernmost_Latitude: 61.81
#     Easternmost_Longitude: 24.68
#     Westernmost_Longitude: 24.68
#     Elevation: 103.7
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 
#     Most_Recent_Year: 1800.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , lake sediment, ,,N,   
##X_radiograph_dark_layer	,,,dark_sum, 3 4 5, lake sediment, ,,, ; climateInterpretation_seasonality changed - was originally 3/4/2005; climateInterpretation_seasonality changed - was originally 3/4/2005;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           X_radiograph_dark_layer	
173.0	4062.0	
174.0	3974.0	
175.0	4234.0	
176.0	3185.0	
177.0	2232.0	
178.0	3037.0	
179.0	6097.0	
180.0	5506.0	
181.0	3327.0	
182.0	3327.0	
183.0	3756.0	
184.0	4309.0	
185.0	3592.0	
186.0	3494.0	
187.0	5031.0	
188.0	3809.0	
189.0	3411.0	
190.0	3167.0	
191.0	2809.0	
192.0	5382.0	
193.0	3709.0	
194.0	3983.0	
195.0	2428.0	
196.0	7646.0	
197.0	3723.0	
198.0	3303.0	
199.0	4337.0	
200.0	4291.0	
201.0	3558.0	
202.0	3446.0	
203.0	4350.0	
204.0	3657.0	
205.0	4686.0	
206.0	4205.0	
207.0	3582.0	
208.0	3698.0	
209.0	4262.0	
210.0	3338.0	
211.0	3230.0	
212.0	3748.0	
213.0	3718.0	
214.0	3267.0	
215.0	3496.0	
216.0	4847.0	
217.0	4422.0	
218.0	3660.0	
219.0	2948.0	
220.0	2929.0	
221.0	4489.0	
222.0	3716.0	
223.0	3767.0	
224.0	4772.0	
225.0	4173.0	
226.0	3462.0	
227.0	3688.0	
228.0	3797.0	
229.0	3292.0	
230.0	3529.0	
231.0	5127.0	
232.0	4050.0	
233.0	4119.0	
234.0	3668.0	
235.0	3820.0	
236.0	4235.0	
237.0	4296.0	
238.0	4275.0	
239.0	4595.0	
240.0	4283.0	
241.0	5209.0	
242.0	4396.0	
243.0	4248.0	
244.0	4262.0	
245.0	1739.0	
246.0	4039.0	
247.0	2970.0	
248.0	3232.0	
249.0	4714.0	
250.0	3772.0	
251.0	4129.0	
252.0	3256.0	
253.0	3793.0	
254.0	3529.0	
255.0	4219.0	
256.0	3919.0	
257.0	4177.0	
258.0	3657.0	
259.0	3833.0	
260.0	5235.0	
261.0	3619.0	
262.0	4849.0	
263.0	3505.0	
264.0	3460.0	
265.0	4023.0	
266.0	4190.0	
267.0	3846.0	
268.0	3665.0	
269.0	2944.0	
270.0	4398.0	
271.0	3775.0	
272.0	4264.0	
273.0	3558.0	
274.0	4304.0	
275.0	3601.0	
276.0	3620.0	
277.0	5246.0	
278.0	3884.0	
279.0	3482.0	
280.0	4603.0	
281.0	3591.0	
282.0	3449.0	
283.0	4007.0	
284.0	3739.0	
285.0	4475.0	
286.0	3181.0	
287.0	3521.0	
288.0	4085.0	
289.0	3246.0	
290.0	5564.0	
291.0	3110.0	
292.0	3895.0	
293.0	3947.0	
294.0	3482.0	
295.0	4655.0	
296.0	5198.0	
297.0	3720.0	
298.0	4896.0	
299.0	3006.0	
300.0	3595.0	
301.0	4033.0	
302.0	3916.0	
303.0	3552.0	
304.0	3692.0	
305.0	6206.0	
306.0	4779.0	
307.0	4504.0	
308.0	2921.0	
309.0	5636.0	
310.0	4675.0	
311.0	3421.0	
312.0	4947.0	
313.0	4429.0	
314.0	3484.0	
315.0	4948.0	
316.0	4156.0	
317.0	3642.0	
318.0	5907.0	
319.0	3004.0	
320.0	5189.0	
321.0	9001.0	
322.0	5789.0	
323.0	4064.0	
324.0	6322.0	
325.0	5019.0	
326.0	3406.0	
327.0	5449.0	
328.0	5380.0	
329.0	3964.0	
330.0	4407.0	
331.0	3888.0	
332.0	5084.0	
333.0	4971.0	
334.0	5028.0	
335.0	4133.0	
336.0	4397.0	
337.0	3876.0	
338.0	5144.0	
339.0	4130.0	
340.0	4172.0	
341.0	3488.0	
342.0	7127.0	
343.0	3801.0	
344.0	4898.0	
345.0	7269.0	
346.0	5699.0	
347.0	6159.0	
348.0	5389.0	
349.0	5332.0	
350.0	4177.0	
351.0	3633.0	
352.0	5837.0	
353.0	4662.0	
354.0	6244.0	
355.0	4475.0	
356.0	5485.0	
357.0	4321.0	
358.0	4775.0	
359.0	5591.0	
360.0	5331.0	
361.0	4402.0	
362.0	5055.0	
363.0	5909.0	
364.0	4438.0	
365.0	5604.0	
366.0	4971.0	
367.0	5747.0	
368.0	3736.0	
369.0	6674.0	
370.0	5340.0	
371.0	4783.0	
372.0	6708.0	
373.0	4778.0	
374.0	4100.0	
375.0	6576.0	
376.0	4664.0	
377.0	4254.0	
378.0	5030.0	
379.0	5198.0	
380.0	7315.0	
381.0	6364.0	
382.0	5712.0	
383.0	6269.0	
384.0	5916.0	
385.0	5491.0	
386.0	6856.0	
387.0	5977.0	
388.0	5976.0	
389.0	5701.0	
390.0	5448.0	
391.0	5684.0	
392.0	5042.0	
393.0	4583.0	
394.0	7572.0	
395.0	6005.0	
396.0	5526.0	
397.0	5163.0	
398.0	5281.0	
399.0	6094.0	
400.0	4349.0	
401.0	4565.0	
402.0	5670.0	
403.0	4105.0	
404.0	4538.0	
405.0	4140.0	
406.0	4617.0	
407.0	4243.0	
408.0	5876.0	
409.0	4540.0	
410.0	4153.0	
411.0	3405.0	
412.0	4005.0	
413.0	4070.0	
414.0	4776.0	
415.0	3603.0	
416.0	8289.0	
417.0	4627.0	
418.0	5649.0	
419.0	4654.0	
420.0	3786.0	
421.0	4902.0	
422.0	5360.0	
423.0	6401.0	
424.0	5483.0	
425.0	6494.0	
426.0	8036.0	
427.0	4678.0	
428.0	8347.0	
429.0	9044.0	
430.0	8907.0	
431.0	4185.0	
432.0	5122.0	
433.0	5231.0	
434.0	3578.0	
435.0	3376.0	
436.0	3681.0	
437.0	2761.0	
438.0	4065.0	
439.0	2944.0	
440.0	2828.0	
441.0	2845.0	
442.0	4406.0	
443.0	4469.0	
444.0	6642.0	
445.0	6539.0	
446.0	3257.0	
447.0	3744.0	
448.0	4186.0	
449.0	3756.0	
450.0	3347.0	
451.0	4347.0	
452.0	3927.0	
453.0	6005.0	
454.0	5725.0	
455.0	5230.0	
456.0	4608.0	
457.0	5014.0	
458.0	7062.0	
459.0	4511.0	
460.0	7085.0	
461.0	5296.0	
462.0	5047.0	
463.0	4468.0	
464.0	4289.0	
465.0	4872.0	
466.0	3961.0	
467.0	5184.0	
468.0	4752.0	
469.0	3555.0	
470.0	5917.0	
471.0	5201.0	
472.0	2816.0	
473.0	4231.0	
474.0	5198.0	
475.0	4481.0	
476.0	3864.0	
477.0	4541.0	
478.0	4622.0	
479.0	4185.0	
480.0	5192.0	
481.0	4313.0	
482.0	4058.0	
483.0	3378.0	
484.0	5013.0	
485.0	4450.0	
486.0	4162.0	
487.0	4377.0	
488.0	7724.0	
489.0	3989.0	
490.0	4253.0	
491.0	6799.0	
492.0	5096.0	
493.0	4349.0	
494.0	3919.0	
495.0	3999.0	
496.0	3928.0	
497.0	3515.0	
498.0	4564.0	
499.0	3632.0	
500.0	4781.0	
501.0	3594.0	
502.0	4983.0	
503.0	6368.0	
504.0	7115.0	
505.0	6781.0	
506.0	6029.0	
507.0	6712.0	
508.0	5639.0	
509.0	5321.0	
510.0	5567.0	
511.0	6981.0	
512.0	5118.0	
513.0	8501.0	
514.0	6338.0	
515.0	6382.0	
516.0	5896.0	
517.0	5497.0	
518.0	5301.0	
519.0	3935.0	
520.0	6866.0	
521.0	4700.0	
522.0	6498.0	
523.0	5039.0	
524.0	5160.0	
525.0	6197.0	
526.0	5555.0	
527.0	6271.0	
528.0	5198.0	
529.0	5105.0	
530.0	5895.0	
531.0	4382.0	
532.0	5897.0	
533.0	5687.0	
534.0	3606.0	
535.0	6569.0	
536.0	6726.0	
537.0	4849.0	
538.0	5015.0	
539.0	5037.0	
540.0	6556.0	
541.0	5019.0	
542.0	4524.0	
543.0	5350.0	
544.0	5604.0	
545.0	4108.0	
546.0	4878.0	
547.0	7124.0	
548.0	4797.0	
549.0	5417.0	
550.0	4567.0	
551.0	5587.0	
552.0	3777.0	
553.0	4172.0	
554.0	5367.0	
555.0	5255.0	
556.0	5295.0	
557.0	4666.0	
558.0	5958.0	
559.0	3829.0	
560.0	3745.0	
561.0	3564.0	
562.0	3412.0	
563.0	4532.0	
564.0	5371.0	
565.0	4983.0	
566.0	4147.0	
567.0	5044.0	
568.0	4237.0	
569.0	4670.0	
570.0	4652.0	
571.0	4972.0	
572.0	4723.0	
573.0	3377.0	
574.0	5399.0	
575.0	4843.0	
576.0	3071.0	
577.0	5677.0	
578.0	8510.0	
579.0	3532.0	
580.0	4013.0	
581.0	4259.0	
582.0	2819.0	
583.0	4855.0	
584.0	5318.0	
585.0	4700.0	
586.0	4611.0	
587.0	7983.0	
588.0	4459.0	
589.0	4601.0	
590.0	3519.0	
591.0	4334.0	
592.0	4630.0	
593.0	3762.0	
594.0	4732.0	
595.0	5790.0	
596.0	2950.0	
597.0	4525.0	
598.0	5624.0	
599.0	4180.0	
600.0	4579.0	
601.0	4523.0	
602.0	3780.0	
603.0	5410.0	
604.0	3869.0	
605.0	4975.0	
606.0	4388.0	
607.0	4275.0	
608.0	3789.0	
609.0	7373.0	
610.0	5437.0	
611.0	5628.0	
612.0	3785.0	
613.0	2469.0	
614.0	5615.0	
615.0	3526.0	
616.0	3258.0	
617.0	4339.0	
618.0	4689.0	
619.0	3867.0	
620.0	3390.0	
621.0	3853.0	
622.0	5246.0	
623.0	3553.0	
624.0	4980.0	
625.0	6604.0	
626.0	4392.0	
627.0	1894.0	
628.0	4064.0	
629.0	5379.0	
630.0	5551.0	
631.0	5428.0	
632.0	4534.0	
633.0	4264.0	
634.0	5573.0	
635.0	4616.0	
636.0	3410.0	
637.0	5777.0	
638.0	4117.0	
639.0	4424.0	
640.0	6588.0	
641.0	4883.0	
642.0	3641.0	
643.0	4168.0	
644.0	4339.0	
645.0	4844.0	
646.0	3671.0	
647.0	5698.0	
648.0	5405.0	
649.0	6126.0	
650.0	4209.0	
651.0	3596.0	
652.0	4216.0	
653.0	4045.0	
654.0	4195.0	
655.0	3567.0	
656.0	3819.0	
657.0	3502.0	
658.0	6937.0	
659.0	3612.0	
660.0	4193.0	
661.0	4695.0	
662.0	4094.0	
663.0	3613.0	
664.0	6622.0	
665.0	4965.0	
666.0	3819.0	
667.0	4763.0	
668.0	5067.0	
669.0	3749.0	
670.0	2954.0	
671.0	4102.0	
672.0	3927.0	
673.0	3989.0	
674.0	3381.0	
675.0	3759.0	
676.0	3393.0	
677.0	3363.0	
678.0	3298.0	
679.0	3640.0	
680.0	3032.0	
681.0	4349.0	
682.0	2615.0	
683.0	4005.0	
684.0	3136.0	
685.0	3777.0	
686.0	4478.0	
687.0	3057.0	
688.0	3300.0	
689.0	4355.0	
690.0	4035.0	
691.0	3953.0	
692.0	3772.0	
693.0	2491.0	
694.0	4167.0	
695.0	3284.0	
696.0	3503.0	
697.0	3797.0	
698.0	4137.0	
699.0	3517.0	
700.0	5101.0	
701.0	3751.0	
702.0	3488.0	
703.0	3682.0	
704.0	3433.0	
705.0	3354.0	
706.0	5057.0	
707.0	3017.0	
708.0	4528.0	
709.0	3742.0	
710.0	6188.0	
711.0	2577.0	
712.0	3286.0	
713.0	4846.0	
714.0	5360.0	
715.0	5285.0	
716.0	4608.0	
717.0	4687.0	
718.0	4085.0	
719.0	3874.0	
720.0	3751.0	
721.0	3101.0	
722.0	3403.0	
723.0	3587.0	
724.0	3590.0	
725.0	3076.0	
726.0	2597.0	
727.0	3803.0	
728.0	3495.0	
729.0	3273.0	
730.0	4623.0	
731.0	4564.0	
732.0	5078.0	
733.0	6737.0	
734.0	3147.0	
735.0	3962.0	
736.0	3754.0	
737.0	3670.0	
738.0	3186.0	
739.0	4163.0	
740.0	3237.0	
741.0	3223.0	
742.0	5726.0	
743.0	3208.0	
744.0	3974.0	
745.0	3921.0	
746.0	3242.0	
747.0	3625.0	
748.0	4735.0	
749.0	4913.0	
750.0	3624.0	
751.0	4041.0	
752.0	3858.0	
753.0	4706.0	
754.0	4660.0	
755.0	3383.0	
756.0	4827.0	
757.0	3488.0	
758.0	3685.0	
759.0	6291.0	
760.0	3153.0	
761.0	4089.0	
762.0	2925.0	
763.0	4137.0	
764.0	3305.0	
765.0	4495.0	
766.0	3239.0	
767.0	3496.0	
768.0	4725.0	
769.0	4078.0	
770.0	4625.0	
771.0	4270.0	
772.0	3710.0	
773.0	5613.0	
774.0	4590.0	
775.0	4066.0	
776.0	3768.0	
777.0	3233.0	
778.0	5357.0	
779.0	3997.0	
780.0	3616.0	
781.0	3959.0	
782.0	3278.0	
783.0	4390.0	
784.0	4505.0	
785.0	4585.0	
786.0	5042.0	
787.0	2830.0	
788.0	3295.0	
789.0	4597.0	
790.0	4151.0	
791.0	4279.0	
792.0	4413.0	
793.0	3169.0	
794.0	3428.0	
795.0	4118.0	
796.0	3218.0	
797.0	3650.0	
798.0	2985.0	
799.0	4794.0	
800.0	3869.0	
801.0	3950.0	
802.0	4736.0	
803.0	2677.0	
804.0	2266.0	
805.0	3106.0	
806.0	3745.0	
807.0	3419.0	
808.0	3734.0	
809.0	4261.0	
810.0	4314.0	
811.0	5550.0	
812.0	4416.0	
813.0	4475.0	
814.0	4879.0	
815.0	5257.0	
816.0	4252.0	
817.0	4220.0	
818.0	4008.0	
819.0	4604.0	
820.0	3612.0	
821.0	3110.0	
822.0	4534.0	
823.0	4083.0	
824.0	4401.0	
825.0	4563.0	
826.0	4305.0	
827.0	4575.0	
828.0	3693.0	
829.0	4797.0	
830.0	3383.0	
831.0	4051.0	
832.0	5104.0	
833.0	5879.0	
834.0	6649.0	
835.0	5679.0	
836.0	4401.0	
837.0	4634.0	
838.0	4209.0	
839.0	2599.0	
840.0	4703.0	
841.0	4235.0	
842.0	5034.0	
843.0	4362.0	
844.0	6565.0	
845.0	4244.0	
846.0	4709.0	
847.0	4429.0	
848.0	4667.0	
849.0	4897.0	
850.0	3149.0	
851.0	5256.0	
852.0	5392.0	
853.0	6281.0	
854.0	3421.0	
855.0	6615.0	
856.0	6139.0	
857.0	3869.0	
858.0	7091.0	
859.0	4368.0	
860.0	4107.0	
861.0	4069.0	
862.0	3629.0	
863.0	3901.0	
864.0	4630.0	
865.0	2332.0	
866.0	4537.0	
867.0	4363.0	
868.0	3451.0	
869.0	4072.0	
870.0	5076.0	
871.0	5030.0	
872.0	3913.0	
873.0	3661.0	
874.0	4047.0	
875.0	3330.0	
876.0	3637.0	
877.0	4295.0	
878.0	5043.0	
879.0	3525.0	
880.0	4317.0	
881.0	3557.0	
882.0	4256.0	
883.0	4182.0	
884.0	3517.0	
885.0	3666.0	
886.0	3372.0	
887.0	3889.0	
888.0	2822.0	
889.0	4174.0	
890.0	5112.0	
891.0	3752.0	
892.0	3962.0	
893.0	5079.0	
894.0	3815.0	
895.0	4249.0	
896.0	3441.0	
897.0	4904.0	
898.0	4497.0	
899.0	4350.0	
900.0	4617.0	
901.0	3510.0	
902.0	4600.0	
903.0	3620.0	
904.0	3832.0	
905.0	3657.0	
906.0	3642.0	
907.0	3473.0	
908.0	4313.0	
909.0	3858.0	
910.0	3671.0	
911.0	3437.0	
912.0	3989.0	
913.0	2952.0	
914.0	4685.0	
915.0	4970.0	
916.0	3621.0	
917.0	4565.0	
918.0	5394.0	
919.0	2767.0	
920.0	5584.0	
921.0	3375.0	
922.0	4319.0	
923.0	3377.0	
924.0	3258.0	
925.0	4968.0	
926.0	4065.0	
927.0	3530.0	
928.0	3572.0	
929.0	3358.0	
930.0	5041.0	
931.0	3742.0	
932.0	4206.0	
933.0	4247.0	
934.0	4278.0	
935.0	3730.0	
936.0	4017.0	
937.0	3732.0	
938.0	3719.0	
939.0	4379.0	
940.0	4281.0	
941.0	4385.0	
942.0	4076.0	
943.0	3822.0	
944.0	4881.0	
945.0	3915.0	
946.0	5138.0	
947.0	5017.0	
948.0	4372.0	
949.0	4502.0	
950.0	4283.0	
951.0	4242.0	
952.0	4064.0	
953.0	4314.0	
954.0	4523.0	
955.0	4013.0	
956.0	3821.0	
957.0	5143.0	
958.0	5401.0	
959.0	4584.0	
960.0	4255.0	
961.0	4474.0	
962.0	4809.0	
963.0	3707.0	
964.0	4045.0	
965.0	5379.0	
966.0	3898.0	
967.0	4757.0	
968.0	5266.0	
969.0	3573.0	
970.0	3439.0	
971.0	5493.0	
972.0	4285.0	
973.0	4409.0	
974.0	4931.0	
975.0	4070.0	
976.0	4451.0	
977.0	3747.0	
978.0	5151.0	
979.0	4398.0	
980.0	4784.0	
981.0	3734.0	
982.0	4732.0	
983.0	3774.0	
984.0	5716.0	
985.0	4658.0	
986.0	6066.0	
987.0	4322.0	
988.0	3992.0	
989.0	5611.0	
990.0	5695.0	
991.0	4538.0	
992.0	4352.0	
993.0	4294.0	
994.0	5035.0	
995.0	4961.0	
996.0	4548.0	
997.0	5077.0	
998.0	3287.0	
999.0	4088.0	
1000.0	4206.0	
1001.0	5653.0	
1002.0	4465.0	
1003.0	5484.0	
1004.0	5781.0	
1005.0	6074.0	
1006.0	8468.0	
1007.0	5127.0	
1008.0	3193.0	
1009.0	4909.0	
1010.0	4105.0	
1011.0	4233.0	
1012.0	3412.0	
1013.0	4498.0	
1014.0	4263.0	
1015.0	4995.0	
1016.0	4366.0	
1017.0	3581.0	
1018.0	4039.0	
1019.0	3293.0	
1020.0	3347.0	
1021.0	4004.0	
1022.0	4580.0	
1023.0	3814.0	
1024.0	4290.0	
1025.0	5464.0	
1026.0	5851.0	
1027.0	4446.0	
1028.0	5660.0	
1029.0	6243.0	
1030.0	3932.0	
1031.0	4363.0	
1032.0	3737.0	
1033.0	5142.0	
1034.0	5732.0	
1035.0	4155.0	
1036.0	5866.0	
1037.0	4262.0	
1038.0	4482.0	
1039.0	3384.0	
1040.0	5149.0	
1041.0	4699.0	
1042.0	3565.0	
1043.0	4791.0	
1044.0	4536.0	
1045.0	2665.0	
1046.0	3525.0	
1047.0	4517.0	
