# Gingerbreads Bahamas coral growth data
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-GingerbreadsBahamas.Saenger.2009.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Ocn-GingerbreadsBahamas.Saenger.2009.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/16440
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: coral
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Gingerbreads Bahamas coral growth data
#------------------
# Investigators
#     Investigators: Saenger,Ocean2k
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Saenger, Casey;Cohen, Anne L.;Oppo, Delia W.;Halley, Robert B.;Carilli, Jessica E.
#     Published_Date_or_Year: 2009
#     Published_Title: Surface-temperature trends and variability in the low-latitude North Atlantic since 1552
#     Journal_Name: Nature Geoscience
#     Volume: 2
#     Edition: 
#     Issue: 7
#     Pages: 492-495
#     Report: 
#     DOI: 10.1038/ngeo552
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Publication
#     Authors: Tierney, Jessica E.;Abram, Nerilie J.;Anchukaitis, Kevin J.;Evans, Michael N.;Giry, Cyril;Kilbourne, K. Halimeda;Saenger, Casey P.;Wu, Henry C.;Zinke, Jens
#     Published_Date_or_Year: 2015
#     Published_Title: Tropical sea surface temperatures for the past four centuries reconstructed from coral archives
#     Journal_Name: Paleoceanography
#     Volume: 30
#     Edition: 
#     Issue: 
#     Pages: 492-495
#     Report: 
#     DOI: 10.1002/2014PA002717
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Gingerbreads Bahamas
#     Location: 
#     Country: 
#     Northernmost_Latitude: 25.84
#     Southernmost_Latitude: 25.84
#     Easternmost_Longitude: -78.62
#     Westernmost_Longitude: -78.62
#     Elevation: -4
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 1552.0
#     Most_Recent_Year: 1991.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: Siderastrea,siderea
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , coral, ,,N,   
##calcification	,,,cm/yr, -12 -11 -10 -9 1 2 3 4 5 6 7 8, coral, ,,, ; paleoData_variableName changed - was originally extensionRate; paleoData_proxy changed - was originally extensionRate; climateInterpretation_seasonality changed - was originally -12 -11 -10 -9 1 2 3 4 5 6 7 8;  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           calcification	
1796.0	0.203	
1795.0	0.191	
1794.0	0.195	
1793.0	0.2	
1792.0	0.264	
1791.0	0.239	
1790.0	0.166	
1789.0	0.192	
1788.0	0.222	
1787.0	0.227	
1786.0	0.277	
1785.0	0.238	
1784.0	0.191	
1783.0	0.172	
1782.0	0.219	
1781.0	0.215	
1780.0	0.219	
1779.0	0.227	
1778.0	0.234	
1777.0	0.227	
1776.0	0.203	
1775.0	0.246	
1774.0	0.231	
1773.0	0.176	
1772.0	0.172	
1771.0	0.219	
1770.0	0.207	
1769.0	0.191	
1768.0	0.239	
1767.0	0.218	
1766.0	0.196	
1765.0	0.244	
1764.0	0.238	
1763.0	0.211	
1762.0	0.203	
1761.0	0.215	
1760.0	0.203	
1759.0	0.207	
1758.0	0.19	
1757.0	0.183	
1756.0	0.19	
1755.0	0.16	
1754.0	0.172	
1753.0	0.242	
1752.0	0.23	
1751.0	0.227	
1750.0	0.16	
1749.0	0.156	
1748.0	0.194	
1747.0	0.244	
1746.0	0.264	
1745.0	0.254	
1744.0	0.234	
1743.0	0.221	
1742.0	0.215	
1741.0	0.239	
1740.0	0.278	
1739.0	0.244	
1738.0	0.234	
1737.0	0.288	
1736.0	0.274	
1735.0	0.317	
1734.0	0.264	
1733.0	0.259	
1732.0	0.273	
1731.0	0.289	
1730.0	0.317	
1729.0	0.303	
1728.0	0.303	
1727.0	0.264	
1726.0	0.254	
1725.0	0.195	
1724.0	0.231	
1723.0	0.267	
1722.0	0.261	
1721.0	0.273	
1720.0	0.267	
1719.0	0.273	
1718.0	0.241	
1717.0	0.189	
1716.0	0.247	
1715.0	0.228	
1714.0	0.326	
1713.0	0.267	
1712.0	0.267	
1711.0	0.247	
1710.0	0.274	
1709.0	0.221	
1708.0	0.209	
1707.0	0.228	
1706.0	0.215	
1705.0	0.199	
1704.0	0.189	
1703.0	0.254	
1702.0	0.287	
1701.0	0.182	
1700.0	0.189	
1699.0	0.242	
1698.0	0.266	
1697.0	0.288	
1696.0	0.294	
1695.0	0.262	
1694.0	0.312	
1693.0	0.316	
1692.0	0.242	
1691.0	0.27	
1690.0	0.23	
1689.0	0.195	
1688.0	0.176	
1687.0	0.189	
1686.0	0.215	
1685.0	0.247	
1684.0	0.202	
1683.0	0.182	
1682.0	0.196	
1681.0	0.195	
1680.0	0.195	
1679.0	0.215	
1678.0	0.249	
1677.0	0.186	
1676.0	0.249	
1675.0	0.279	
1674.0	0.268	
1673.0	0.244	
1672.0	0.378	
1671.0	0.215	
1670.0	0.293	
1669.0	0.241	
1668.0	0.201	
1667.0	0.222	
1666.0	0.235	
1665.0	0.26	
1664.0	0.228	
1663.0	0.299	
1662.0	0.222	
1661.0	0.215	
1660.0	0.241	
1659.0	0.247	
1658.0	0.241	
1657.0	0.273	
1656.0	0.248	
1655.0	0.241	
1654.0	0.254	
1653.0	0.26	
1652.0	0.2	
1651.0	0.233	
1650.0	0.221	
1649.0	0.21	
1648.0	0.25	
1647.0	0.237	
1646.0	0.198	
1645.0	0.195	
1644.0	0.166	
1643.0	0.254	
1642.0	0.249	
1641.0	0.254	
1640.0	0.215	
1639.0	0.176	
1638.0	0.23	
1637.0	0.176	
1636.0	0.209	
1635.0	0.195	
1634.0	0.303	
1633.0	0.186	
1632.0	0.177	
1631.0	0.223	
1630.0	0.223	
1629.0	0.203	
1628.0	0.173	
1627.0	0.238	
1626.0	0.268	
1625.0	0.258	
1624.0	0.238	
1623.0	0.235	
1622.0	0.278	
1621.0	0.244	
1620.0	0.272	
1619.0	0.23	
1618.0	0.22	
1617.0	0.204	
1616.0	0.202	
1615.0	0.208	
1614.0	0.143	
1613.0	0.198	
1612.0	0.175	
1611.0	0.178	
1610.0	0.15	
1609.0	0.177	
1608.0	0.214	
1607.0	0.205	
1606.0	0.156	
1605.0	0.189	
1604.0	0.244	
1603.0	0.235	
1602.0	0.249	
1601.0	0.225	
1600.0	0.235	
1599.0	0.225	
1598.0	0.21	
1597.0	0.215	
1596.0	0.287	
1595.0	0.225	
1594.0	0.274	
1593.0	0.201	
1592.0	0.166	
1591.0	0.195	
1590.0	0.166	
1589.0	0.186	
1588.0	0.127	
1587.0	0.196	
1586.0	0.215	
1585.0	0.273	
1584.0	0.254	
1583.0	0.215	
1582.0	0.156	
1581.0	0.215	
1580.0	0.195	
1579.0	0.117	
1578.0	0.176	
1577.0	0.137	
1576.0	0.117	
1575.0	0.156	
1574.0	0.15	
1573.0	0.176	
1572.0	0.215	
1571.0	0.156	
1570.0	0.196	
1569.0	0.117	
1568.0	0.132	
1567.0	0.166	
1566.0	0.2	
1565.0	0.215	
1564.0	0.196	
1563.0	0.156	
1562.0	0.176	
1561.0	0.175	
1560.0	0.17	
1559.0	0.159	
1558.0	0.145	
1557.0	0.131	
1556.0	0.121	
1555.0	0.117	
1554.0	0.136	
1553.0	0.176	
1552.0	0.157	
