# Cook.Lower_Murray_Lake.2008
#-----------------------------------------------------------------------            
#                World Data Service for Paleoclimatology, Boulder            
#                                  and            
#                     NOAA Paleoclimatology Program            
#             National Centers for Environmental Information (NCEI)            
#-----------------------------------------------------------------------            
# Template Version 3.0            
# Encoding: UTF-8            
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data.             
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LowerMurrayLake.Cook.2008.txt
#     Online_Resource_Description:  This file.  NOAA WDS Paleo formatted metadata and data for version 2.0.0 of this dataset.
#
# Online_Resource:  https://www1.ncdc.noaa.gov/pub/data/paleo/pages2k/pages2k-temperature-v2-2017/data-version-2.0.0/Arc-LowerMurrayLake.Cook.2008.lpd
#     Online_Resource_Description:  Linked Paleo Data (LiPD) formatted file containing the same metadata and data as this file, for version 2.0.0 of this dataset.
#
# Original_Source_URL: https://www.ncdc.noaa.gov/paleo/study/6195
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: lake sediment
# Parameter_Keywords: 
# Dataset_DOI: 
#
#------------------
# Contribution_Date
#     Date: 
#------------------
# File_Last_Modified_Date
#     Modified_Date: 2017-05-19
#------------------
# Title
#     Study_Name: Cook.Lower_Murray_Lake.2008
#------------------
# Investigators
#     Investigators: Cook, Timothy L.;Bradley, Raymond S.;Stoner, Joseph S.;Francus, Pierre
#------------------
# Description_Notes_and_Keywords
#     Description: 
#------------------
# Publication
#     Authors: Cook, Timothy L.;Bradley, Raymond S.;Stoner, Joseph S.;Francus, Pierre
#     Published_Date_or_Year: 2008
#     Published_Title: Five thousand years of sediment transfer in a High Arctic watershed recorded in annually laminated sediments from Lower Murray Lake, Ellesmere Island, Nunavut, Canada
#     Journal_Name: Journal of Paleolimnology
#     Volume: 41
#     Edition: 
#     Issue: 
#     Pages: 77-94
#     Report: 
#     DOI: 10.1007/s10933-008-9252-0
#     Online_Resource: doi.org
#     Full_Citation: 
#     Abstract: 
#------------------
# Funding_Agency
#     Funding_Agency_Name: 
#     Grant: 
#------------------
# Site_Information
#     Site_Name: Lower Murray Lake
#     Location: 
#     Country: 
#     Northernmost_Latitude: 81.35
#     Southernmost_Latitude: 81.35
#     Easternmost_Longitude: -69.53
#     Westernmost_Longitude: -69.53
#     Elevation: 106
#------------------
# Data_Collection
#     Collection_Name: 
#     Earliest_Year: 
#     Most_Recent_Year: 2000.0
#     Time_Unit: AD
#     Core_Length: 
#     Notes: 
#------------------
# Species
#     Species_Name: 
#     Species_Code: 
#     Common_Name: 
#------------------
# Chronology:        

#------------------
# Variables        
#
# Data variables follow that are preceded by "##" in columns one and two.        
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components ( 10 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data, additional_information)
#
##year	Year AD, ,,AD, , lake sediment, ,,N,   
##massacum	mass flux, ,,g.cm-2.a-1, 7, lake sediment, flux estimated from thickness and density, ,,  
#
#------------------
# Data:        
# Data lines follow (have no #)        
# Data line format - tab-delimited text, variable short name as header)        
# Missing_Values: nan
#
year           massacum	
163.0	0.02712	
164.0	0.0356	
165.0	0.0724	
166.0	0.04207	
167.0	0.01905	
168.0	0.03281	
169.0	0.02437	
170.0	0.03943	
171.0	0.02139	
172.0	0.03743	
173.0	0.04504	
174.0	0.02797	
175.0	0.05723	
176.0	0.05411	
177.0	0.02718	
178.0	0.03703	
179.0	0.03383	
180.0	0.01748	
181.0	0.10101	
182.0	0.0495	
183.0	0.03306	
184.0	0.0321	
185.0	0.03659	
186.0	0.04899	
187.0	0.03457	
188.0	0.02568	
189.0	0.03476	
190.0	0.03145	
191.0	0.03495	
192.0	0.02265	
193.0	0.02838	
194.0	0.02384	
195.0	0.02164	
196.0	0.0149	
197.0	0.01494	
198.0	0.01378	
199.0	0.03	
200.0	0.05938	
201.0	0.02693	
202.0	0.02837	
203.0	0.02263	
204.0	0.05037	
205.0	0.01692	
206.0	0.09145	
207.0	0.07497	
208.0	0.08664	
209.0	0.04111	
210.0	0.03144	
211.0	0.019	
212.0	0.03443	
213.0	0.01673	
214.0	0.02846	
215.0	0.03259	
216.0	0.02886	
217.0	0.02245	
218.0	0.08239	
219.0	0.09232	
220.0	0.03234	
221.0	0.05154	
222.0	0.01639	
223.0	0.03443	
224.0	0.00968	
225.0	0.0453	
226.0	0.13177	
227.0	0.06506	
228.0	0.22573	
229.0	0.12051	
230.0	0.03751	
231.0	0.02999	
232.0	0.03123	
233.0	0.02357	
234.0	0.03163	
235.0	0.03075	
236.0	0.04241	
237.0	0.02993	
238.0	0.02552	
239.0	0.09916	
240.0	0.03636	
241.0	0.02119	
242.0	0.01066	
243.0	0.01433	
244.0	0.05039	
245.0	0.01203	
246.0	0.02265	
247.0	0.03906	
248.0	0.02234	
249.0	0.01755	
250.0	0.02203	
251.0	0.01959	
252.0	0.03545	
253.0	0.03971	
254.0	0.04785	
255.0	0.08506	
256.0	0.0878	
257.0	0.05515	
258.0	0.05692	
259.0	0.04613	
260.0	0.04537	
261.0	0.0675	
262.0	0.03505	
263.0	0.10235	
264.0	0.07852	
265.0	0.04259	
266.0	0.12774	
267.0	0.04086	
268.0	0.02434	
269.0	0.02215	
270.0	0.06686	
271.0	0.05547	
272.0	0.0334	
273.0	0.04775	
274.0	0.04635	
275.0	0.02008	
276.0	0.03794	
277.0	0.02917	
278.0	0.03545	
279.0	0.03426	
280.0	0.02842	
281.0	0.03452	
282.0	0.01711	
283.0	0.08392	
284.0	0.04246	
285.0	0.02277	
286.0	0.04512	
287.0	0.043	
288.0	0.02577	
289.0	0.04471	
290.0	0.0413	
291.0	0.0422	
292.0	0.07572	
293.0	0.07833	
294.0	0.04303	
295.0	0.07493	
296.0	0.02588	
297.0	0.05428	
298.0	0.02238	
299.0	0.01807	
300.0	0.01547	
301.0	0.04047	
302.0	0.01808	
303.0	0.01727	
304.0	0.0483	
305.0	0.03658	
306.0	0.03316	
307.0	0.01557	
308.0	0.03215	
309.0	0.02829	
310.0	0.01852	
311.0	0.02341	
312.0	0.02636	
313.0	0.01069	
314.0	0.07901	
315.0	0.05071	
316.0	0.12985	
317.0	0.09177	
318.0	0.03127	
319.0	0.03127	
320.0	0.0215	
321.0	0.01559	
322.0	0.03027	
323.0	0.01957	
324.0	0.02539	
325.0	0.03711	
326.0	0.0205	
327.0	0.03131	
328.0	0.01173	
329.0	0.01272	
330.0	0.02719	
331.0	0.02326	
332.0	0.0261	
333.0	0.05777	
334.0	0.02874	
335.0	0.02395	
336.0	0.04387	
337.0	0.01993	
338.0	0.02649	
339.0	0.03683	
340.0	0.03102	
341.0	0.03003	
342.0	0.02057	
343.0	0.02605	
344.0	0.02789	
345.0	0.05183	
346.0	0.01847	
347.0	0.0257	
348.0	0.05312	
349.0	0.01733	
350.0	0.03179	
351.0	0.01635	
352.0	0.08037	
353.0	0.08638	
354.0	0.05109	
355.0	0.02499	
356.0	0.04097	
357.0	0.0399	
358.0	0.02297	
359.0	0.01939	
360.0	0.036	
361.0	0.04545	
362.0	0.01746	
363.0	0.03298	
364.0	0.01561	
365.0	0.04912	
366.0	0.01802	
367.0	0.04447	
368.0	0.01877	
369.0	0.02889	
370.0	0.03645	
371.0	0.04501	
372.0	0.00852	
373.0	0.0136	
374.0	0.01709	
375.0	0.01881	
376.0	0.01714	
377.0	0.02487	
378.0	0.03766	
379.0	0.02777	
380.0	0.02781	
381.0	0.06277	
382.0	0.07682	
383.0	0.02794	
384.0	0.02506	
385.0	0.03106	
386.0	0.02912	
387.0	0.03116	
388.0	0.09266	
389.0	0.02725	
390.0	0.03436	
391.0	0.0496	
392.0	0.03044	
393.0	0.01524	
394.0	0.01325	
395.0	0.01625	
396.0	0.0183	
397.0	0.0163	
398.0	0.02145	
399.0	0.05834	
400.0	0.03081	
401.0	0.01436	
402.0	0.02158	
403.0	0.05976	
404.0	0.02271	
405.0	0.02372	
406.0	0.02796	
407.0	0.01655	
408.0	0.05816	
409.0	0.02495	
410.0	0.02607	
411.0	0.05625	
412.0	0.14512	
413.0	0.09307	
414.0	0.04186	
415.0	0.06084	
416.0	0.05151	
417.0	0.04412	
418.0	0.09157	
419.0	0.06317	
420.0	0.03474	
421.0	0.01683	
422.0	0.01684	
423.0	0.06333	
424.0	0.19219	
425.0	0.1934	
426.0	0.04226	
427.0	0.03489	
428.0	0.03701	
429.0	0.05084	
430.0	0.0678	
431.0	0.05201	
432.0	0.08593	
433.0	0.01164	
434.0	0.01696	
435.0	0.0223	
436.0	0.04362	
437.0	0.05642	
438.0	0.049	
439.0	0.0288	
440.0	0.03727	
441.0	0.05544	
442.0	0.03308	
443.0	0.06197	
444.0	0.01818	
445.0	0.02455	
446.0	0.06743	
447.0	0.01821	
448.0	0.01285	
449.0	0.01398	
450.0	0.01074	
451.0	0.01075	
452.0	0.01177	
453.0	0.0333	
454.0	0.00965	
455.0	0.01403	
456.0	0.03336	
457.0	0.04844	
458.0	0.04093	
459.0	0.02914	
460.0	0.03242	
461.0	0.02377	
462.0	0.05725	
463.0	0.09619	
464.0	0.01941	
465.0	0.03783	
466.0	0.02168	
467.0	0.04113	
468.0	0.03142	
469.0	0.0477	
470.0	0.03031	
471.0	0.05203	
472.0	0.04333	
473.0	0.01732	
474.0	0.02173	
475.0	0.01948	
476.0	0.03148	
477.0	0.03364	
478.0	0.0554	
479.0	0.0315	
480.0	0.03911	
481.0	0.04887	
482.0	0.03584	
483.0	0.13692	
484.0	0.04788	
485.0	0.02394	
486.0	0.24146	
487.0	0.17952	
488.0	0.1661	
489.0	0.10505	
490.0	0.0611	
491.0	0.05899	
492.0	0.0365	
493.0	0.06865	
494.0	0.0569	
495.0	0.04728	
496.0	0.05368	
497.0	0.03542	
498.0	0.07895	
499.0	0.03178	
500.0	0.03799	
501.0	0.08008	
502.0	0.08621	
503.0	0.06673	
504.0	0.03289	
505.0	0.05337	
506.0	0.01437	
507.0	0.05651	
508.0	0.02574	
509.0	0.02778	
510.0	0.01438	
511.0	0.04111	
512.0	0.02061	
513.0	0.08129	
514.0	0.02879	
515.0	0.03706	
516.0	0.06283	
517.0	0.01234	
518.0	0.12382	
519.0	0.03121	
520.0	0.02904	
521.0	0.05154	
522.0	0.03112	
523.0	0.0322	
524.0	0.03642	
525.0	0.03427	
526.0	0.0203	
527.0	0.02139	
528.0	0.03951	
529.0	0.02558	
530.0	0.02133	
531.0	0.02131	
532.0	0.06908	
533.0	0.02227	
534.0	0.03187	
535.0	0.03284	
536.0	0.02221	
537.0	0.05717	
538.0	0.01478	
539.0	0.03481	
540.0	0.02212	
541.0	0.02947	
542.0	0.019	
543.0	0.01789	
544.0	0.02412	
545.0	0.03154	
546.0	0.03884	
547.0	0.05969	
548.0	0.07219	
549.0	0.02826	
550.0	0.05221	
551.0	0.01361	
552.0	0.04069	
553.0	0.02608	
554.0	0.02389	
555.0	0.02603	
556.0	0.03327	
557.0	0.06225	
558.0	0.05808	
559.0	0.03418	
560.0	0.02894	
561.0	0.18194	
562.0	0.05064	
563.0	0.02992	
564.0	0.07215	
565.0	0.03407	
566.0	0.03423	
567.0	0.03865	
568.0	0.05561	
569.0	0.04952	
570.0	0.04978	
571.0	0.02235	
572.0	0.04393	
573.0	0.01933	
574.0	0.04541	
575.0	0.11966	
576.0	0.0558	
577.0	0.03074	
578.0	0.05187	
579.0	0.03997	
580.0	0.0234	
581.0	0.06283	
582.0	0.02822	
583.0	0.01359	
584.0	0.04667	
585.0	0.08353	
586.0	0.10337	
587.0	0.04964	
588.0	0.03245	
589.0	0.02335	
590.0	0.02114	
591.0	0.01179	
592.0	0.08157	
593.0	0.01067	
594.0	0.03339	
595.0	0.06119	
596.0	0.02045	
597.0	0.01446	
598.0	0.0121	
599.0	0.03997	
600.0	0.04369	
601.0	0.02678	
602.0	0.10243	
603.0	0.04885	
604.0	0.02454	
605.0	0.03318	
606.0	0.04558	
607.0	0.03333	
608.0	0.01355	
609.0	0.0459	
610.0	0.01361	
611.0	0.02494	
612.0	0.04114	
613.0	0.05506	
614.0	0.03138	
615.0	0.03264	
616.0	0.04156	
617.0	0.07942	
618.0	0.03859	
619.0	0.02578	
620.0	0.0735	
621.0	0.02064	
622.0	0.0142	
623.0	0.14418	
624.0	0.05595	
625.0	0.01824	
626.0	0.05361	
627.0	0.11401	
628.0	0.0433	
629.0	0.03532	
630.0	0.06637	
631.0	0.03363	
632.0	0.0258	
633.0	0.13075	
634.0	0.09684	
635.0	0.07742	
636.0	0.08585	
637.0	0.09537	
638.0	0.01747	
639.0	0.0236	
640.0	0.01974	
641.0	0.06889	
642.0	0.05015	
643.0	0.0146	
644.0	0.05088	
645.0	0.01922	
646.0	0.01437	
647.0	0.01553	
648.0	0.11839	
649.0	0.05064	
650.0	0.03984	
651.0	0.02917	
652.0	0.0405	
653.0	0.02416	
654.0	0.01829	
655.0	0.04897	
656.0	0.02718	
657.0	0.11597	
658.0	0.03364	
659.0	0.09129	
660.0	0.03545	
661.0	0.05062	
662.0	0.04051	
663.0	0.02178	
664.0	0.01726	
665.0	0.01614	
666.0	0.0342	
667.0	0.05516	
668.0	0.08123	
669.0	0.02526	
670.0	0.0526	
671.0	0.08311	
672.0	0.05158	
673.0	0.0473	
674.0	0.01679	
675.0	0.01371	
676.0	0.03892	
677.0	0.02522	
678.0	0.01052	
679.0	0.06509	
680.0	0.01677	
681.0	0.02628	
682.0	0.03361	
683.0	0.01467	
684.0	0.0115	
685.0	0.01258	
686.0	0.0314	
687.0	0.02932	
688.0	0.12259	
689.0	0.02831	
690.0	0.01673	
691.0	0.02197	
692.0	0.0461	
693.0	0.02512	
694.0	0.01048	
695.0	0.01987	
696.0	0.02095	
697.0	0.02194	
698.0	0.03655	
699.0	0.02825	
700.0	0.01363	
701.0	0.03969	
702.0	0.023	
703.0	0.02506	
704.0	0.02713	
705.0	0.03442	
706.0	0.03343	
707.0	0.04693	
708.0	0.07619	
709.0	0.06576	
710.0	0.05122	
711.0	0.04495	
712.0	0.01573	
713.0	0.03247	
714.0	0.01784	
715.0	0.0252	
716.0	0.04311	
717.0	0.01472	
718.0	0.01473	
719.0	0.01903	
720.0	0.01895	
721.0	0.01158	
722.0	0.01479	
723.0	0.06649	
724.0	0.13718	
725.0	0.0215	
726.0	0.02462	
727.0	0.03456	
728.0	0.0339	
729.0	0.03297	
730.0	0.0258	
731.0	0.05876	
732.0	0.02585	
733.0	0.0331	
734.0	0.01652	
735.0	0.04345	
736.0	0.02694	
737.0	0.01873	
738.0	0.03013	
739.0	0.03223	
740.0	0.0177	
741.0	0.02087	
742.0	0.02296	
743.0	0.01776	
744.0	0.01778	
745.0	0.17053	
746.0	0.02098	
747.0	0.02625	
748.0	0.03778	
749.0	0.02411	
750.0	0.01673	
751.0	0.01254	
752.0	0.0323	
753.0	0.02289	
754.0	0.02901	
755.0	0.04858	
756.0	0.00829	
757.0	0.01546	
758.0	0.03182	
759.0	0.02564	
760.0	0.0112	
761.0	0.02648	
762.0	0.01834	
763.0	0.01724	
764.0	0.06373	
765.0	0.01315	
766.0	0.07748	
767.0	0.03377	
768.0	0.04387	
769.0	0.04068	
770.0	0.05784	
771.0	0.02631	
772.0	0.01718	
773.0	0.04235	
774.0	0.03019	
775.0	0.016	
776.0	0.02993	
777.0	0.05585	
778.0	0.01193	
779.0	0.01293	
780.0	0.03457	
781.0	0.02171	
782.0	0.02751	
783.0	0.0216	
784.0	0.01664	
785.0	0.04388	
786.0	0.07787	
787.0	0.03108	
788.0	0.01939	
789.0	0.01641	
790.0	0.07512	
791.0	0.09596	
792.0	0.05553	
793.0	0.03626	
794.0	0.02964	
795.0	0.02302	
796.0	0.03081	
797.0	0.08778	
798.0	0.06097	
799.0	0.01458	
800.0	0.06904	
801.0	0.02443	
802.0	0.02052	
803.0	0.03829	
804.0	0.02956	
805.0	0.02759	
806.0	0.03066	
807.0	0.03571	
808.0	0.02284	
809.0	0.0229	
810.0	0.02401	
811.0	0.02407	
812.0	0.0382	
813.0	0.0222	
814.0	0.03745	
815.0	0.03046	
816.0	0.02036	
817.0	0.01531	
818.0	0.00917	
819.0	0.05839	
820.0	0.06058	
821.0	0.03913	
822.0	0.03201	
823.0	0.0549	
824.0	0.04465	
825.0	0.03856	
826.0	0.0219	
827.0	0.0534	
828.0	0.03361	
829.0	0.02207	
830.0	0.03588	
831.0	0.01479	
832.0	0.09438	
833.0	0.03937	
834.0	0.08953	
835.0	0.05341	
836.0	0.03644	
837.0	0.03115	
838.0	0.03551	
839.0	0.02264	
840.0	0.01626	
841.0	0.01732	
842.0	0.01524	
843.0	0.02633	
844.0	0.01544	
845.0	0.08894	
846.0	0.04364	
847.0	0.03042	
848.0	0.02269	
849.0	0.02509	
850.0	0.03435	
851.0	0.04961	
852.0	0.0441	
853.0	0.0351	
854.0	0.02698	
855.0	0.03072	
856.0	0.05833	
857.0	0.02634	
858.0	0.02047	
859.0	0.03996	
860.0	0.09136	
861.0	0.02083	
862.0	0.01478	
863.0	0.03969	
864.0	0.09844	
865.0	0.03635	
866.0	0.02144	
867.0	0.02539	
868.0	0.04083	
869.0	0.05764	
870.0	0.0632	
871.0	0.05963	
872.0	0.01699	
873.0	0.05236	
874.0	0.0224	
875.0	0.01727	
876.0	0.01195	
877.0	0.01745	
878.0	0.05785	
879.0	0.02032	
880.0	0.0149	
881.0	0.02738	
882.0	0.02752	
883.0	0.04006	
884.0	0.01521	
885.0	0.02373	
886.0	0.02239	
887.0	0.03529	
888.0	0.02971	
889.0	0.01991	
890.0	0.02709	
891.0	0.03249	
892.0	0.02109	
893.0	0.01526	
894.0	0.02623	
895.0	0.04522	
896.0	0.04532	
897.0	0.04637	
898.0	0.02708	
899.0	0.07776	
900.0	0.04382	
901.0	0.03299	
902.0	0.04702	
903.0	0.04013	
904.0	0.02826	
905.0	0.02921	
906.0	0.04789	
907.0	0.07496	
908.0	0.02726	
909.0	0.03071	
910.0	0.01826	
911.0	0.04937	
912.0	0.0489	
913.0	0.02478	
914.0	0.02343	
915.0	0.04871	
916.0	0.031	
917.0	0.02951	
918.0	0.01795	
919.0	0.04122	
920.0	0.03594	
921.0	0.04141	
922.0	0.02915	
923.0	0.03308	
924.0	0.01796	
925.0	0.03554	
926.0	0.02685	
927.0	0.02047	
928.0	0.01535	
929.0	0.06358	
930.0	0.07523	
931.0	0.03107	
932.0	0.04052	
933.0	0.09389	
934.0	0.01988	
935.0	0.01679	
936.0	0.01685	
937.0	0.02013	
938.0	0.03619	
939.0	0.03422	
940.0	0.02463	
941.0	0.0409	
942.0	0.0238	
943.0	0.05209	
944.0	0.03922	
945.0	0.07658	
946.0	0.11091	
947.0	0.03198	
948.0	0.04757	
949.0	0.12113	
950.0	0.06016	
951.0	0.08736	
952.0	0.0258	
953.0	0.02366	
954.0	0.02835	
955.0	0.02727	
956.0	0.02048	
957.0	0.02174	
958.0	0.0375	
959.0	0.07378	
960.0	0.03708	
961.0	0.03491	
962.0	0.05829	
963.0	0.11699	
964.0	0.01637	
965.0	0.0269	
966.0	0.03168	
967.0	0.09387	
968.0	0.02938	
969.0	0.04582	
970.0	0.03641	
971.0	0.03176	
972.0	0.10112	
973.0	0.04703	
974.0	0.05774	
975.0	0.07891	
976.0	0.11081	
977.0	0.05426	
978.0	0.07313	
979.0	0.03852	
980.0	0.10161	
981.0	0.02451	
982.0	0.01988	
983.0	0.03746	
984.0	0.01869	
985.0	0.01527	
986.0	0.04217	
987.0	0.03868	
988.0	0.03871	
989.0	0.05399	
990.0	0.05402	
991.0	0.0505	
992.0	0.04231	
993.0	0.02467	
994.0	0.02962	
995.0	0.09115	
996.0	0.05685	
997.0	0.12799	
998.0	0.09932	
999.0	0.13899	
1000.0	0.05515	
1001.0	0.04674	
1002.0	0.04889	
1003.0	0.02489	
1004.0	0.0933	
1005.0	0.02699	
1006.0	0.04677	
1007.0	0.07108	
1008.0	0.04983	
1009.0	0.04611	
1010.0	0.04133	
1011.0	0.03768	
1012.0	0.02503	
1013.0	0.03507	
1014.0	0.03043	
1015.0	0.03028	
1016.0	0.02233	
1017.0	0.02883	
1018.0	0.03588	
1019.0	0.17902	
1020.0	0.04265	
1021.0	0.05003	
1022.0	0.01411	
1023.0	0.01719	
1024.0	0.03743	
1025.0	0.05647	
1026.0	0.01902	
1027.0	0.01474	
1028.0	0.01675	
1029.0	0.02918	
1030.0	0.02177	
1031.0	0.04437	
1032.0	0.14579	
1033.0	0.16546	
1034.0	0.03253	
1035.0	0.01918	
1036.0	0.03018	
1037.0	0.01699	
1038.0	0.08045	
1039.0	0.06518	
1040.0	0.02333	
1041.0	0.01654	
1042.0	0.01759	
1043.0	0.01506	
1044.0	0.00801	
1045.0	0.01616	
1046.0	0.00814	
1047.0	0.00916	
1048.0	0.03223	
1049.0	0.02599	
1050.0	0.0684	
1051.0	0.1425	
1052.0	0.01806	
1053.0	0.023	
1054.0	0.02126	
1055.0	0.00974	
1056.0	0.03334	
1057.0	0.02267	
1058.0	0.01495	
1059.0	0.03911	
1060.0	0.03634	
1061.0	0.10779	
1062.0	0.02864	
1063.0	0.03917	
1064.0	0.05819	
1065.0	0.02718	
1066.0	0.03901	
1067.0	0.02014	
