year,OverGunnarsfjorden,Farewell_Lake,Over_Gunnarsfjorden,Lomonosovfonna,Holsteinsborg_Dyb,SO90_39KG,CaribbeanSea,Lake_C2,DeBilt_summer,NorthGRIP,Grimsey,MD95_2011,CampCentury,Hani,GeoB95015,Yamal,DeBilt_winter,Teletskoe_Lake,Crete,MD99-2275_45,Braya_So,Lake_Anterne,KuroshioExtension,Clear_Pond,Albania,Western_Himalaya,Forfjorddalen,Lake_Korttajarv,Lower_Murray_Lake,Hells_Kitchen_Lake,Donard_Lake,Gulf_of_Alaska,AkademiiNauk,GISP2_d18O,Khibiny,East_China,Feni_Drift,Gulf_of_Taranto,SouthernAltai,Dye_3,SG95,Tibet,Gahai_Lake,ODP_Hole_1202B,Agassiz,Polar_Urals,Tornetrask,Tien_Shan,Conroy_Lake,Iceberg_Lake,Indigirka,Haukadalsvatn,Pigmy_Basin,MD99-2275,Lake_Pieni-Kauro,ColumbiaIceField,CentralEurope,Kongressvatnet,Moose_Lake,SouthernSierraNevada,B18,Dunde,Blue_Lake,LoneSprucePond,Screaming_Lynx_Lake,GeoB6008_1,Qamdo,Qigai_Nuur,Lake_of_the_Clouds,Alps,NorthernSpain,Avam_Taimyr,RAPiD213K,Prince_of_Wales,Lake_Lehmilampi,Lake_Redon,Sol_Dav,Chesapeake_Bay,Yakushima_Island,Finnish_Lapland,MSM05_5_712_1,Hallet_Lake,BorealPlateau,Sugan_Lake,FM3,Renland,Guliya,UpperWrightLakes,North_Pacific_Gyre,NorwegianSea,Spannagel_Cave,GreatBasin,Iceland,Caribbean_Sea,CariacoBasin,Pescadero_Basin,GISP2,Big_Round_Lake,Jones_Lake,Cariaco_Basin,ShiHua_Cave,North_Iceland_Shelf_SUM,Vallee_des_Merveilles,North_Iceland_Shelf_WIN,GRIP,Indo_Pacific_Warm_Pool,NINO4_region,Coast_of_Porto,Yangtze_Delta,Devon_Ice_Cap,RAPiD-35-25B,NorthernScandinavia,Basin_Pond,Buddha_Cave,Lake_Neuchatel,Karakorum_Mts,Jamtland,Bermuda_Rise,Lake_Nautajarvi,Southern_Colorado_Plateau,Laanila,Penido_Vello,Karakorum_Mountains,PennyIceCap,Nadas_Lake,IndonesianThroughflow,EasternCarpathians,ColombiaIcefield_Win
1084,12.04851958,-0.384557195,-11.1562496,-11.27209855,-8.944852759,26.6373057,26.01,0.92718719,16.02429351,-33.99,1.005,10.62186474,-28.936,-19.75040887,26.6,0.387,2.403585915,-1.046187628,-35.04,9.000155169,7.3437,9.440900504,-0.01,18.805,0.989,1.228292359,0.873120261,-69.118,1.824745767,18.0775,2.417443,8.369,-20.4,-34.4,0.199050523,0.463333333,14.16315789,-0.3945,14.82919042,-27.76,-7.12722145,2.26,16.5638178,25.965,1.691451292,0.562,10.914,0.979636441,19.22,-0.23,8.826150494,7.8,22.84692308,8.027902,15.44229,-0.18,0.047512903,2.49047619,13.95006135,15.7,-35.89,-11.11887143,0.038,27.8679224,14.67907031,19.37692308,5.04101,3.184943128,17.6,-0.321566164,0.980947716,1.603,10.0281445,-24.831244,-48.27,-0.617900152,0.907,11.47287805,22.36921414,12.69604786,4.001960784,-0.65,1.746,18.23433989,6.780232193,-28.01,-14.17685,1.486,18.00307692,-1.22,2.54,0.6203,3.978244,26.647,26.4208,8.613513514,-30.8365,1.99,16.2110457,28.6622,22.92066548,6.493578328,-0.948287331,3.06814902,-35.36,28.553,26.107,15.68460691,10.0627957,-26.776,8.437026214,0.22546,19.84,-9.2412,10.60638607,1.4,0.85788844,22.9952,-69.762,15.54,1.55048904,0.135,0.198,-23.13900142,9.293818094,-0.067412059,1.008,0.304690184
1085,12.07418918,-0.410900621,-11.22127925,-11.46628311,-8.652301047,26.64766839,26.01,0.36286553,16.02823239,-34.66,1.344,10.61494014,-28.9675,-19.75074442,26.53,-1.865,2.392523138,-1.577079304,-34.15,8.993328083,7.38556,9.41210182,0.01,18.8,1.041,1.204687674,-1.693981662,-60.714,1.15499809,18.075,2.48974,8.394,-20.7,-34.6,1.602944231,0.466666667,14.17,-0.492,14.82269716,-27.8,-7.126088393,2.26,16.6392178,25.91975,1.691451292,-0.134,9.627,0.969962794,19.2,-0.03,8.799127593,8.7,22.76461538,8.020566,15.44050833,-0.07,-0.081515259,2.480952381,13.95123648,15.22,-35.32,-11.18866667,0.043,27.8094114,14.67713438,19.33076923,4.79584,3.234782686,17.6,-0.347538818,0.951838262,1.428,10.15410652,-24.97719246,-46.08,-0.61523247,0.807,11.50702439,22.35967775,13.94836787,3.992156863,-0.708333333,1.573,18.14321244,6.785180028,-27.35,-14.1425,1.582,18.00692308,-1.204,2.5,0.6083,4.00561,26.64875,26.3395,8.775675676,-30.925625,2.28,16.21388505,28.7957,23.30822898,6.515459634,-0.907086757,3.075521569,-35.7,28.55,26.11,15.70848556,10.06290323,-26.792,8.681999577,0.317098,19.85,-9.264516129,10.61738654,1.02,1.020281123,22.998,-48.3,15.82,1.454175028,0.12,0.628,-23.53817675,9.289239212,-0.075138563,0.688,0.285702408
1086,12.09985878,-0.437244047,-11.28630891,-11.68809483,-8.359749334,26.65803109,26.01,0.39514782,16.03217128,-35.42,1.387,10.60801554,-28.999,-19.75107997,26.46,-1.311,2.381460362,-1.513403707,-33.56,8.986500997,7.42742,9.383303137,0,18.8025,1.059,1.17178193,0.873120261,-65.636,4.530184711,18.0725,2.803027,7.965,-21,-34.98,1.821997117,0.47,14.18,-0.44325,14.81620391,-28.7,-7.124955336,2.26,16.62544524,25.8745,0.975745527,0.426,11.615,0.960289146,19.18,0.01,8.772104693,8.2,22.68230769,8.01323,15.43872667,-0.6,-0.359422069,2.471428571,13.95241161,17.35,-35.5,-11.03394815,0.194,27.75090039,14.67519844,19.28461538,4.8827,3.284622243,17.59,-0.360525145,0.860522897,1.147,10.28006854,-25.12314092,-44.45,-0.612564787,0.667,11.54117073,22.35014135,14.10325636,3.982352941,-0.766666667,1.381,18.052085,6.790127864,-27.32,-13.98009211,1.493,18.01076923,-1.188,2.38,0.5897,4.032976,26.6505,26.1375,8.937837838,-31.015125,2.91,16.2167244,28.7148,22.880121,6.537340941,-1.603751016,3.082894118,-33.88,28.555,26.122,15.7323642,10.06301075,-26.808,8.92697294,1.39639,19.86,-9.179677419,10.62838702,1.01,0.92073888,23.0008,-48.111,15.75,3.256622965,0.105,0.403,-23.93735208,9.28466033,-0.083727169,0.77,0.354238468
1087,12.12552838,-0.463587473,-11.35133857,-11.94094019,-8.067197622,26.66839378,26.01,0.50294167,16.03611017,-37.25,0.669,10.60109094,-29.0305,-19.75141552,26.39,1.115,2.370397585,-0.942610673,-32.34,8.979673912,7.46928,9.354504453,0.01,18.805,0.896,1.138876185,-1.578462076,-63.538,1.314373559,18.07,3.116314,7.808,-21.1,-34.12,1.578895844,0.473333333,14.19,-0.3945,14.80971066,-26.56,-7.123822279,2.26,16.59679324,25.82925,0.71445612,1.803,10.558,0.950615499,19.16,-0.09,8.745081792,7.7,22.6,8.005894,15.436945,-0.76,-0.056702151,2.461904762,13.95358674,15.49,-35.78,-10.87922963,0.045,27.69238939,14.6732625,19.23846154,4.91212,3.334461801,17.58,-0.02288064,0.769207533,1.104,10.40603056,-25.14021214,-44.2,-0.609897104,0.767,11.57531707,22.34060495,13.19739402,3.97254902,-0.825,1.615,17.96095755,6.795075699,-28.57,-13.81768421,1.521,18.01461538,-1.172,2.26,0.5676,4.060342,26.65225,26.0978,9.1,-31.105375,2.05,16.21956375,28.8523,23.9423715,6.559222247,-0.738538952,3.090266667,-34.99,28.56,26.134,15.75624285,10.06311828,-26.824,9.171946302,0.48001,19.87,-9.09483871,10.63938749,1.35,0.823578185,23.0036,-45.211,15.97,1.52297075,0.09,0.064,-24.3365274,9.280990127,-0.092315774,1.405,0.422774528
1088,12.15119798,-0.489930899,-11.41636823,-12.2282257,-7.774645909,26.67875648,26.01,0.36996221,16.04004906,-34.79,1.267,10.59416634,-29.062,-19.75175108,26.32,-3.682,2.359334808,-0.524921647,-34.65,8.972846826,7.51114,9.32570577,-0.01,18.8075,0.964,1.105970441,-0.10237847,-62.429,1.871825044,18.0675,2.610235,7.97,-20.5,-35.12,1.428783782,0.476666667,14.2,-0.34575,14.80321741,-27.37,-7.122689222,2.26,16.56814124,25.784,0.71445612,0.132,10.793,0.943864037,19.14,-0.07,8.718058891,7.2,22.70916667,7.998558,15.43516333,-1,-1.039301229,2.452380952,13.95476188,15.75,-37.05,-10.72451111,0.061,27.63387839,14.67132656,19.19230769,4.52965,3.384301359,17.57,-1.737075821,0.677892169,0.79,10.53199258,-25.15728336,-43.8,-0.607229421,0.885,11.76586585,22.33106855,14.53488583,3.962745098,-0.883333333,1.47,17.8698301,6.800023534,-27.59,-13.65527632,1.64,18.01846154,-1.156,2.14,0.5459,4.087708,26.654,26.2581,9.635135135,-31.195875,1.96,16.2224031,28.8083,23.81954632,6.581103554,-1.150544697,3.097639216,-34.4,28.565,26.146,15.7801215,10.06322581,-26.84,9.416919665,0.826198,19.88,-9.01,10.65038796,0.78,0.869569696,23.0064,-48.95,15.98,2.472351725,0.096097561,0.16,-24.27060305,9.27857993,-0.10090438,0.129,0.491310588
1089,12.17686759,-0.516274325,-11.48139789,-12.55335784,-7.482094197,26.68911917,26.01,0.40940089,16.04398794,-34.81,0.879,10.58724174,-29.0935,-19.75208663,26.25,0.392,2.348272032,-0.490920285,-35.25,8.96601974,7.553,9.296907086,0.03,18.81,0.912,1.066970309,-1.077877201,-67.391,3.443679103,18.065,2.417443,7.967,-22.3,-34.34,2.64222002,0.48,14.21,-0.297,14.79672415,-27.25,-7.121556165,2.25,16.53948924,25.73875,0.16915649,0.212,10.581,0.937698416,19.12,-0.05,8.69103599,6.7,22.81833333,7.991222,15.43338167,-0.62,-0.349496825,2.442857143,13.95593701,14.97,-37.25,-10.56979259,0.096,27.57536738,14.66939063,19.14615385,5.06763,3.362542773,17.56,-1.295540699,0.586576805,1.016,10.78588455,-25.17435457,-43.45,-0.604561738,0.862,12.07440244,22.32153215,16.44654253,3.952941176,-0.941666667,1.221,17.77870265,6.804971369,-27.43,-13.49286842,1.273,18.02230769,-1.14,2.02,0.5275,4.115074,26.65575,26.3476,10.17027027,-31.287125,1.98,16.22524244,28.5942,23.98190314,6.60298486,-0.820940101,3.105011765,-35.99,28.57,26.158,15.80400015,10.06333333,-26.988,9.661893027,0.775288,19.89,-9.048709677,10.66138844,1.28,0.978100163,23.0092,-46.471,15.22,1.977022521,0.102195122,0.266,-24.2046787,9.276169733,-0.109492986,1.638,0.559846648
1090,12.20253719,-0.542617751,-11.54642754,-13.21484709,-7.189542484,26.69948187,26.01,0.56035432,16.04792683,-35.51,0.623,10.58031715,-29.125,-19.75242218,26.18,1.756,2.337209255,-0.546361711,-33.98,8.977467936,7.59486,9.268108403,0.05,18.8125,0.906,1.025320825,-0.243569075,-72.778,2.247444862,18.0625,3.791086,7.81,-23,-34.91,1.578055102,0.483333333,14.22,-0.263,14.7902309,-26.69,-7.120423108,2.24,16.51083724,25.6935,-0.535188867,0.148,11.16,0.931532795,19.1,-0.04,8.66401309,6.2,22.9275,7.983886,15.4316,-1.12,-0.974787148,2.433333333,13.95711214,14.18,-37.42,-10.41507408,0.053,27.51685638,14.66745469,19.1,4.98357,3.118465488,17.55,-1.931870728,0.495261441,0.936,11.20042684,-25.19142579,-42.53,-0.601894055,0.951,12.38293902,22.31199575,11.70596023,3.943137255,-1,1.374,17.68757521,6.809919205,-26.54,-13.33046053,1.344,18.02615385,-1.124,1.9,0.5122,4.14244,26.6575,26.0432,10.70540541,-31.37875,1.99,16.2261788,28.5695,23.88316546,6.624866167,-1.038179494,3.112384314,-34.84,28.575,26.17,15.82787879,10.06344086,-27.136,9.90686639,0.541102,19.9,-9.087419355,10.67238891,1.29,0.67855244,23.012,-64.35,15.15,1.247787859,0.108292683,0.033,-24.13875435,9.273759537,-0.118081592,1.422,0.628382708
1091,12.22820679,-0.568961177,-11.6114572,-12.55587492,-7.275082076,26.70984456,26.01,0.91596999,16.05186572,-36.78,0.251,10.57339255,-29.1565,-19.75275773,26.11,1.525,2.326146479,-0.561535024,-33.95,8.988916132,7.63672,9.256235088,0.03,18.815,0.865,0.987557405,1.437882685,-73.455,2.519398158,18.06,3.164512,6.82,-21.8,-34.49,2.531051751,0.486666667,14.23,-0.229,14.78373765,-27.51,-7.119290051,2.24,16.52436701,25.64825,-0.535188867,0.776,11.329,0.925367173,19.08,-0.17,8.636990189,6.68,23.03666667,7.97655,15.43353778,-0.58,-0.791170148,2.423809524,13.95828727,17.31,-37.37,-10.26035556,0.033,27.45834538,14.66551875,19.10833333,4.99758,2.874388202,17.54,-0.373511472,0.403946076,1.277,11.61496914,-25.20849701,-41.4,-0.603536585,0.942,12.69147561,22.30232167,14.92155949,3.933333333,-1,1.255,17.59644776,6.81486704,-26.91,-13.16805263,1.353,18.03,-1.108,1.9,0.5002,4.169806,26.65925,25.7301,11.24054054,-31.471375,2.29,16.22402343,28.6463,23.98261415,6.646747473,-0.955778345,3.119756863,-34.67,28.58,26.182,15.85175744,10.06354839,-27.284,10.15183975,1.14184,19.91,-9.126129032,10.68338938,1.3,0.860733374,23.0148,-41.35,15.8,2.761293761,0.114390244,0.636,-24.07283,9.27134934,-0.126670198,1.032,0.696918767
1092,12.25387639,-0.595304603,-11.67648686,-11.33206945,-7.360621668,26.72020725,26.01,1.36132346,16.05580461,-34.41,0.383,10.58010775,-29.188,-19.75309328,26.04,-2.295,2.315083702,-0.824163385,-34.88,9.000364328,7.67858,9.244361772,-0.01,18.8175,0.947,0.960194922,1.57907329,-92.905,2.238793583,18.0575,3.598294,7.096,-21.5,-35.02,1.954041163,0.49,14.24,-0.195,14.7772444,-28.24,-7.118156993,2.22,16.55151101,25.603,-0.478386822,0.06,12.175,0.919201552,19.06,-0.01,8.609967288,7.16,23.14583333,7.969214,15.43547556,-0.5,-0.612515771,2.414285714,13.95946241,14.66,-36.95,-10.10563704,0.035,27.39983437,14.66358281,19.11666667,4.79444,2.630310917,17.53,0.431640809,0.312630712,0.679,12.02951143,-25.10791588,-39.18,-0.615731707,0.844,13.0000122,22.2925483,16.48866781,3.923529412,-1,1.252,17.50532031,6.819814875,-27.47,-13.00564474,1.506,18.03384615,-1.092,1.9,0.4908,4.197172,26.661,25.5109,11.77567568,-31.564375,2.03,16.22186805,28.909,22.7504828,6.66862878,-0.873377196,3.127129412,-35.95,28.585,26.194,15.87563609,10.06365591,-27.432,10.39681311,1.579666,19.92,-9.1273,10.69438985,0.84,0.946975107,23.0176,-47.5,15.22,3.380455267,0.120487805,0.601,-24.00690565,9.268939143,-0.135799387,1.259,0.765454827
1093,12.27954599,-0.621648029,-11.74151652,-10.67309727,-7.44616126,26.73056995,26.01,0.63574567,16.05974349,-34.6,0.687,10.59089681,-29.2195,-19.75342884,25.97,-1.47,2.304020926,-0.820675316,-35.02,9.011812524,7.72044,9.232488457,-0.04,18.82,0.97,0.93283244,-0.590127835,-74.476,3.506428877,18.055,3.839284,7.39,-23.2,-36.18,1.150878972,0.493333333,14.25,-0.161,14.77075114,-28.03,-7.117023936,2.22,16.57865501,25.55775,-0.148934962,0.043,10.554,0.913035931,19.04,0.04,8.582944387,7.64,23.255,7.961878,15.43741333,-0.67,-0.235356528,2.404761905,13.96063754,17.13,-36.58,-9.950918519,0.043,27.34132337,14.66164687,19.125,4.92753,2.386233631,17.52,-0.3864978,0.221315348,1.647,12.44405373,-25.00733475,-41.51,-0.627926829,0.985,13.30854878,22.28277493,14.04866676,3.91372549,-1,0.848,17.41419286,6.82476271,-28.73,-12.84323684,1.033,18.03769231,-1.076,1.9,0.4832,4.224538,26.66275,25.7993,12.31081081,-31.560125,2.14,16.21971268,29.0097,23.04049552,6.690510086,-0.5437726,3.134501961,-35.39,28.59,26.206,15.89951473,10.06376344,-27.58,10.64178648,0.693832,19.93,-9.1243,10.70539033,1.06,0.986476095,23.0204,-44.5,15.07,2.348519424,0.126585366,0.535,-24.08088241,9.266528946,-0.146443442,1.428,0.833990887
1094,12.3052156,-0.647991455,-11.80654618,-11.19413333,-7.531700853,26.74093264,26.01,0.80093329,16.06368238,-36.14,0.221,10.60168588,-29.251,-19.75376439,25.9,-0.891,2.292958149,-1.03893886,-34.88,9.02326072,7.7623,9.220615141,-0.06,18.8225,0.834,0.905469958,1.566237781,-70.696,0.372562232,18.0525,5.357521,6.572,-24.5,-35.48,1.520503949,0.496666667,14.26,-0.15,14.76425789,-26.42,-7.115890879,2.22,16.60579901,25.5125,-0.148934962,-0.106,10.539,0.906870309,19.02,-0.22,8.555921487,8.12,23.36416667,7.954542,15.43935111,-0.14,-0.160917204,2.395238095,13.96181267,16.03,-36.18,-9.7962,0.061,27.28281236,14.65971094,19.13333333,4.96956,2.142156346,17.51,0.561504081,0.129999984,1.33,12.85859602,-24.90675362,-41.03,-0.640121951,0.928,13.61708537,22.27300156,13.08999774,3.903921569,-1,1.27,17.32306542,6.829710546,-27.87,-12.68082895,1.532,18.04153846,-1.06,1.85,0.4769,4.251904,26.6645,26.0802,12.84594595,-31.5325,2.01,16.2175573,29.0002,24.07640266,6.712391392,-0.098057295,3.14187451,-36.31,28.595,26.218,15.92339338,10.06387097,-27.768,10.88675984,0.541102,19.94,-9.1213,10.7163908,1.1,0.946948091,23.0232,-51.071,14.72,1.137714703,0.132682927,0.11,-24.15485917,9.264118749,-0.157087498,0.199,0.902526947
1095,12.3308852,-0.674334881,-11.87157583,-11.71516939,-7.617240445,26.75129534,26.01,0.69315179,16.06762127,-34.5,0.417,10.61247494,-29.2825,-19.75409994,25.95,0.798,2.281895372,-0.897792795,-33.28,9.04453468,7.76475,9.208741826,-0.08,18.825,0.904,0.874749423,-0.641469874,-63.444,2.414213881,18.05,6.200986,7.463,-23.3,-35.36,1.25222008,0.5,14.27,-0.139,14.75776464,-27.93,-7.114757822,2.22,16.63294301,25.46725,-0.148934962,1.142,9.929,0.900704688,19,-0.18,8.528898586,8.6,23.47333333,7.947206,15.44128889,-0.89,-0.741543932,2.385714286,13.9629878,16.15,-36.57,-9.641481481,0.098,27.22430136,14.657775,19.14166667,4.88831,2.018797023,17.5,0.003092014,0.045792486,1.531,13.11588969,-24.80617249,-40.05,-0.652317073,1.028,13.92562195,22.26322819,12.20276437,3.894117647,-1,1.281,17.25249862,6.834658381,-26.43,-12.51842105,1.401,18.04538462,-1.06,1.8,0.4708,4.27927,26.66625,26.3541,13.38108108,-31.506125,2.5,16.21540193,28.9082,23.80041569,6.734272699,-1.315346994,3.149247059,-33.88,28.6,26.23,15.94727203,10.0639785,-27.956,10.72502517,-0.762194,19.95,-9.106774194,10.72739127,0.68,0.671878472,23.026,-43.25,15.37,-0.100608308,0.138780488,0.095,-24.22883593,9.261708552,-0.167731553,0.432,0.971063007
1096,12.3565548,-0.700678307,-11.93660549,-11.45691673,-7.702780037,26.76165803,26.01,0.39504658,16.07156016,-33.74,0.314,10.62326401,-29.314,-19.75443549,26,-1.052,2.270832596,-1.090465484,-33.55,9.06580864,7.7672,9.19686851,-0.08,18.8275,0.926,0.842767887,-0.949522104,-64.552,1.893715724,18.0475,3.525997,7.762,-21.4,-35.17,0.993525427,0.473333333,14.28,-0.128,14.75127139,-28.81,-7.113624765,2.23,16.6734215,25.422,-0.682874183,-0.152,9.572,0.894539067,18.98,-0.13,8.501875685,8.16,23.5825,7.93987,15.44322667,0.26,-0.667104608,2.376190476,13.96416294,15.17,-37.98,-9.674871794,0.061,27.16579036,14.65583906,19.15,4.94154,2.088435857,17.49,-0.646224342,0.052565361,0.621,12.65006929,-24.70559136,-39.38,-0.664512195,0.896,13.98463415,22.25345482,11.7960675,3.884313725,-1,1.202,17.29317024,6.839606216,-27.09,-12.71271783,1.369,18.04923077,-1.06,1.75,0.4642,4.293596667,26.668,26.3838,13.91621622,-31.480125,2.42,16.21324656,28.9884,23.3424366,6.756154005,-1.472658279,3.156619608,-34.7,28.581,26.268,15.89449811,10.06408602,-28.144,10.56329051,-0.64001,19.96,-9.090967742,10.73839175,1,0.629052466,23.0288,-43.722,15.56,-0.417068633,0.144878049,0.459,-24.30281269,9.259298355,-0.178375609,0.84,1.01117133
1097,12.3822244,-0.727021733,-12.00163515,-11.19866408,-7.788319629,26.77202073,26.01,0.63563357,16.07549905,-36.76,-0.007,10.63405307,-29.3455,-19.75477104,26.05,-0.223,2.259769819,-1.18036396,-34.26,9.0870826,7.76965,9.184995195,-0.06,18.83,1.008,0.81078635,0.693423127,-63.476,0.716290683,18.045,3.766987,7.169,-22.5,-34.83,1.629356212,0.446666667,14.29,-0.117,14.74477813,-27.97,-7.112491708,2.24,16.7209235,25.37675,-0.739676228,0.634,10.866,0.887060168,18.96,-0.1,8.474852784,7.72,23.69166667,7.86591,15.44516444,0.4,0.042550282,2.366666667,13.96533807,15.02,-38.4,-9.708262108,0.038,27.10727935,14.65390313,19.15833333,5.00459,2.158074691,17.48,0.132955286,0.059338237,0.91,12.18424889,-24.95611764,-39.59,-0.676707317,1.039,13.61878049,22.24368144,14.66581778,3.874509804,-1,1.177,17.33384186,6.844554051,-27.77,-12.90701462,1.407,18.05307692,-1.06,1.7,0.4569,4.307923333,26.66975,26.1712,14.45135135,-31.454875,2.71,16.21109118,28.9933,22.79748225,6.778035312,-1.423966691,3.163992157,-35.7,28.562,26.306,15.8228,10.06419355,-28.332,10.40155584,0.256006,19.97,-9.07516129,10.74939222,1.11,0.668737978,23.0316,-52.583,14.71,1.52297075,0.15097561,0.664,-24.37678945,9.256888158,-0.189019664,0.869,1.051279654
1098,12.407894,-0.753365159,-12.06666481,-11.36630177,-7.873859221,26.78238342,26.01,0.30523699,16.07943793,-35.18,0.583,10.64484213,-29.377,-19.75510659,26.1,-3.016,2.248707043,-1.103786624,-33.83,9.10835656,7.7721,9.173121879,-0.08,18.8325,0.965,0.782930186,-0.590127835,-73.815,2.984287673,18.0425,5.357521,6.98,-21.8,-34.59,0.685568065,0.42,14.3,-0.14625,14.73828488,-28.26,-7.111358651,2.23,16.76842549,25.3315,-0.739676228,-0.389,10.504,0.877811736,18.94,-0.16,8.447829884,7.28,23.80083333,7.79195,15.44710222,-0.14,-0.458674501,2.357142857,13.9665132,17.17,-36.84,-9.741652421,0.048,27.04876835,14.65196719,19.16666667,4.8869,2.227713525,17.47,-1.282554371,0.066111113,1.16,11.71842849,-25.20664392,-40.79,-0.688902439,0.879,13.25292683,22.25698959,13.2069924,3.864705882,-1,0.783,17.37451348,6.849501886,-26.37,-13.1013114,0.91,18.05692308,-1.06,1.566666667,0.4473,4.32225,26.6715,25.9544,14.98648649,-31.430375,2.14,16.20893581,28.9785,23.40203615,6.799916618,-1.727352739,3.171364706,-35.07,28.543,26.344,15.75110189,10.06430108,-28.52,10.23982117,0.032002,19.98,-9.077677419,10.76039269,0.94,0.560022823,23.0344,-50.529,14.77,0.945086679,0.157073171,0.37,-24.53929216,9.254477961,-0.185820937,1.306,1.091387977
1099,12.43356361,-0.779708585,-12.13169447,-11.53393946,-7.959398813,26.79274611,26.01,0.50993637,16.08337682,-34.67,0.439,10.6556312,-29.4085,-19.75544215,26.15,-3.252,2.237644266,-0.719924222,-34.37,9.12963052,7.77455,9.161248564,-0.08,18.835,0.924,0.75689299,0.834613733,-77.643,1.262231055,18.04,3.044017,6.613,-19.7,-34.85,0.028758204,0.393333333,14.31,-0.1755,14.73179163,-28.31,-7.110225594,2.23,16.81592749,25.28625,-1.205452996,-0.809,10.685,0.868563304,18.92,-0.08,8.420806983,6.84,23.91,7.71799,15.44904,-0.83,0.394896416,2.347619048,13.96768833,16.9,-35.49,-9.775042735,0.02,26.99025735,14.65003125,19.175,4.8813,2.297352359,17.46,-1.360472334,0.072883989,1.323,11.25260809,-25.4571702,-42.48,-0.701097561,0.924,12.88707317,22.29151857,11.15760025,3.854901961,-1,1.053,17.4151851,6.854449722,-27.4,-13.29560819,1.154,18.06076923,-1.06,1.433333333,0.4345,4.336576667,26.67325,25.7331,15.52162162,-31.40625,2.52,16.20678043,28.9586,23.40238264,6.821797925,-1.41273017,3.178737255,-34.8,28.524,26.382,15.67940377,10.0644086,-28.36,10.07808651,-0.53819,19.99,-9.084774194,10.77139317,0.64,0.596059631,23.0372,-39.909,14.9,-0.747288103,0.163170732,0.149,-24.70179487,9.252067764,-0.177238905,0.554,1.1314963
1100,12.45923321,-0.806052011,-12.19672412,-11.44249246,-8.044938405,26.79536082,26.01,0.70021875,16.08731571,-35.01,-0.409,10.66642026,-29.44,-19.7557777,26.2,-3.712,2.22658149,-0.48455676,-34.19,9.109867911,7.777,9.149375248,-0.04,18.8375,0.919,0.730855794,-0.08954296,-66.632,2.564085825,18.0375,2.754829,6.843,-20.5,-36.22,-0.059120461,0.366666667,14.32,-0.20475,14.72529838,-27.49,-7.109092536,2.21,16.86342949,25.241,-1.455381994,0.055,10.434,0.859314872,18.9,0.02,8.393784082,6.4,23.8525,7.64403,15.45097778,-0.38,-0.200618177,2.338095238,13.96886346,15.33,-35.31,-9.808433048,0.035,26.93174634,14.64809531,19.18333333,4.94154,2.366991193,17.45,-0.594279034,0.079656864,1.338,10.78678769,-25.70769648,-43.76,-0.713292683,0.888,12.52121951,22.32604754,12.46833084,3.845098039,-1,1.241,17.45585672,6.859397557,-27.24,-13.48990497,1.3,18.06461538,-1.06,1.3,0.4063,4.350903333,26.675,25.8524,16.05675676,-31.382875,2.34,16.20462506,28.93,24.24789808,6.843679231,-1.723607232,3.186109804,-34.75,28.505,26.42,15.60770566,10.06451613,-28.2,9.91635184,-0.416006,20,-9.091870968,10.78239364,1.22,0.702465643,23.04,-42.464,14.9,-0.100608308,0.169268293,0.084,-24.86429758,9.249657567,-0.168656873,0.869,1.171604624
1101,12.48490281,-0.832395437,-12.26175378,-11.2483485,-8.130477998,26.77989691,26.01,0.28007858,16.0912546,-36.8,0.121,10.65558058,-29.4065,-19.75611325,26.25,-1.775,2.215518713,-0.697761155,-36.25,9.090105302,7.77945,9.137501933,-0.01,18.84,0.959,0.706999529,-0.051036431,-62.95,1.551190184,18.035,2.345146,6.722,-21.5,-34.37,0.786502588,0.34,14.33,-0.234,14.71880512,-28.02,-7.107959479,2.19,16.82112255,25.19575,-1.455381994,-0.34,10.946,0.85006644,18.88,-0.24,8.366761181,7.2,23.795,7.57007,15.45291556,-0.41,-0.453711879,2.328571429,13.9700386,14.52,-36.9,-9.841823361,0.045,26.87323534,14.64615938,19.19166667,4.94715,2.436630027,17.44,-0.815046595,0.08642974,0.92,10.32096728,-25.95822277,-40.46,-0.725487805,0.624,12.15536585,22.36057651,12.77822878,3.835294118,-1,1.254,17.49652833,6.864345392,-27.37,-13.68420175,1.255,18.06846154,-1.06,1.38,0.3768,4.36523,26.67675,26.0373,16.59189189,-31.360375,2.57,16.2024033,28.9434,24.09675188,6.865560538,-1.937101118,3.193482353,-38.13,28.486,26.458,15.53600755,10.06462366,-28.04,9.754617173,0.062548,20.01,-9.0912,10.79339411,0.63,0.740840421,23.0428,-40.789,14.72,-0.073090019,0.175365854,0.719,-25.02680028,9.24724737,-0.160074842,0.519,1.211712947
