year,TR15YOLL,TR15YOLL,TR14KOSP,TR14KOSP,TR16LAAN,TR16LAAN,TR07REVI,TR07REVI,TR07RECA,TR07RECA,IC12WACD,IC12WACD,IC12WACD,IC13BOCG,IC13BOCG,IC13BOCG,IC13BOCG,IC13BOCG,IC13BOCG,TR16LAFO,TR16LAFO,TR15YONW,TR15YONW
1285,,,,,,,,,,,,,,,,,,,,,,,
1286,,,,,,,,,,,,,,,,,,,,,,,
1287,,,,,,,,,,,,,,,,,,,,,,,
1288,,,,,,,,,,,,,,,,,,,,,,,
1289,,,,,,,,,,,,,,,,,,,,,,,
1290,,,,,,,,,,,,,,,,,,,,,,,
1291,,,,,,,,,,,,,,,,,,,,,,,
1292,,,,,,,,,,,,,,,,,,,,,,,
1293,,,,,,,,,,,,,,,,,,,,,,,
1294,,,,,,,,,,,,,,,,,,,,,,,
1295,,,,,,,,,,,,,,,,,,,,,,,
1296,,,,,,,,,,,,,,,,,,,,,,,
1297,,,,,,,,,,,,,,,,,,,,,,,
1298,,,,,,,,,,,,,,,,,,,,,,,
1299,,,,,,,,,,,,,,,,,,,,,,,
1300,,,,,,,,,,,,,,,,,,,,,,,
1301,,,,,,,,,,,,,,,,,,,,,,,
1302,,,,,,,,,,,,,,,,,,,,,,,
1303,,,,,,,,,,,,,,,,,,,,,,,
1304,,,,,,,,,,,,,,,,,,,,,,,
1305,,,,,,,,,,,,,,,,,,,,,,,
1306,,,,,,,,,,,,,,,,,,,,,,,
1307,,,,,,,,,,,,,,,,,,,,,,,
1308,,,,,,,,,,,,,,,,,,,,,,,
1309,,,,,,,,,,,,,,,,,,,,,,,
1310,,,,,,,,,,,,,,,,,,,,,,,
1311,,,,,,,,,,,,,,,,,,,,,,,
1312,,,,,,,,,,,,,,,,,,,,,,,
1313,,,,,,,,,,,,,,,,,,,,,,,
1314,,,,,,,,,,,,,,,,,,,,,,,
1315,,,,,,,,,,,,,,,,,,,,,,,
1316,,,,,,,,,,,,,,,,,,,,,,,
1317,,,,,,,,,,,,,,,,,,,,,,,
1318,,,,,,,,,,,,,,,,,,,,,,,
1319,,,,,,,,,,,,,,,,,,,,,,,
1320,,,,,,,,,,,,,,,,,,,,,,,
1321,,,,,,,,,,,,,,,,,,,,,,,
1322,,,,,,,,,,,,,,,,,,,,,,,
1323,,,,,,,,,,,,,,,,,,,,,,,
1324,,,,,,,,,,,,,,,,,,,,,,,
1325,,,,,,,,,,,,,,,,,,,,,,,
1326,,,,,,,,,,,,,,,,,,,,1.5031,1326.0,,
1327,,,,,,,,,,,,,,,,,,,,0.6204,1327.0,,
1328,,,,,,,,,,,,,,,,,,,,-0.442,1328.0,,
1329,,,,,,,,,,,,,,,,,,,,0.8143,1329.0,,
1330,,,,,,,,,,,,,,,,,,,,-0.0455,1330.0,,
1331,,,,,,,,,,,,,,,,,,,,2.7002,1331.0,,
1332,,,,,,,,,,,,,,,,,,,,0.9753,1332.0,,
1333,,,,,,,,,,,,,,,,,,,,0.6281,1333.0,,
1334,,,,,,,,,,,,,,,,,,,,-0.4999,1334.0,,
1335,,,,,,,,,,,,,,,,,,,,-0.744,1335.0,,
1336,,,,,,,,,,,,,,,,,,,,-0.395,1336.0,,
1337,,,,,,,,,,,,,,,,,,,,-0.3421,1337.0,,
1338,,,,,,,,,,,,,,,,,,,,0.4741,1338.0,,
1339,,,,,,,,,,,,,,,,,,,,1.1174,1339.0,,
1340,,,,,,,,,,,,,,,,,,,,1.4016,1340.0,,
1341,,,,,,,,,,,,,,,,,,,,0.6666,1341.0,,
1342,,,,,,,,,,,,,,,,,,,,0.4429,1342.0,,
1343,,,,,,,,,,,,,,,,,,,,0.7811,1343.0,,
1344,,,,,,,,,,,,,,,,,,,,0.2602,1344.0,,
1345,,,,,,,,,,,,,,,,,,,,0.6372,1345.0,,
1346,,,,,,,,,,,,,,,,,,,,0.1283,1346.0,,
1347,,,,,,,,,,,,,,,,,,,,0.6705,1347.0,,
1348,,,,,,,,,,,,,,,,,,,,-0.466,1348.0,,
1349,,,,,,,,,,,,,,,,,,,,-1.1632,1349.0,,
1350,,,,,,,,,,,,,,,,,,,,-0.3037,1350.0,,
1351,,,,,,,,,,,,,,,,,,,,0.2652,1351.0,,
1352,,,,,,,,,,,,,,,,,,,,-0.1343,1352.0,,
1353,,,,,,,,,,,,,,,,,,,,0.4363,1353.0,,
1354,,,,,,,,,,,,,,,,,,,,0.5752,1354.0,,
1355,,,,,,,,,,,,,,,,,,,,1.9832,1355.0,,
1356,,,,,,,,,,,,,,,,,,,,0.0793,1356.0,,
1357,,,,,,,,,,,,,,,,,,,,2.3779,1357.0,,
1358,,,,,,,,,,,,,,,,,,,,0.5318,1358.0,,
1359,,,,,,,,,,,,,,,,,,,,-0.1364,1359.0,,
1360,,,,,0.0986,1360.0,,,,,,,,,,,,,,1.9758,1360.0,,
1361,,,,,1.0685,1361.0,,,,,,,,,,,,,,2.8787,1361.0,,
1362,,,,,0.9552,1362.0,,,,,,,,,,,,,,0.4164,1362.0,,
1363,,,,,-0.0621,1363.0,,,,,,,,,,,,,,1.4444,1363.0,,
1364,,,,,1.1195,1364.0,,,,,,,,,,,,,,1.6657,1364.0,,
1365,,,,,-0.7864,1365.0,,,,,,,,,,,,,,-0.1166,1365.0,,
1366,,,,,0.0478,1366.0,,,,,,,,,,,,,,-0.4589,1366.0,,
1367,,,,,0.8333,1367.0,,,,,,,,,,,,,,-0.1024,1367.0,,
1368,,,,,-0.2063,1368.0,,,,,,,,,,,,,,-0.8344,1368.0,,
1369,,,,,-1.7838,1369.0,,,,,,,,,,,,,,-1.0508,1369.0,,
1370,,,,,-0.9593,1370.0,,,,,,,,,,,,,,0.0503,1370.0,,
1371,,,,,0.4837,1371.0,,,,,,,,,,,,,,1.4545,1371.0,,
1372,,,,,-0.3298,1372.0,,,,,,,,,,,,,,0.3099,1372.0,,
1373,,,,,0.4618,1373.0,,,,,,,,,,,,,,1.6184,1373.0,,
1374,,,,,-0.4424,1374.0,,,,,,,,,,,,,,-0.0013,1374.0,,
1375,,,,,-0.4371,1375.0,,,,,,,,,,,,,,0.5214,1375.0,,
1376,,,,,2.3365,1376.0,,,,,,,,,,,,,,1.5488,1376.0,,
1377,,,,,0.8198,1377.0,,,,,,,,,,,,,,-0.8161,1377.0,,
1378,,,,,0.3906,1378.0,,,,,,,,,,,,,,-0.8916,1378.0,,
1379,,,,,-0.438,1379.0,,,,,,,,,,,,,,-0.4132,1379.0,,
1380,,,,,-1.7301,1380.0,,,,,,,,,,,,,,-0.052,1380.0,,
1381,,,,,-0.7084,1381.0,,,,,,,,,,,,,,-0.1346,1381.0,,
1382,,,,,0.1838,1382.0,,,,,,,,,,,,,,0.9032,1382.0,,
1383,,,,,-0.7457,1383.0,,,,,,,,,,,,,,1.27,1383.0,,
1384,,,,,1.4321,1384.0,,,,,,,,,,,,,,1.2521,1384.0,,
1385,,,,,0.5488,1385.0,,,,,,,,,,,,,,1.477,1385.0,,
1386,,,,,-1.0494,1386.0,,,,,,,,,,,,,,-0.7416,1386.0,,
1387,,,,,1.4799,1387.0,,,,,,,,,,,,,,-0.2577,1387.0,,
1388,,,,,-0.2038,1388.0,,,,,,,,,,,,,,0.5004,1388.0,,
1389,,,,,-0.5346,1389.0,,,,,,,,,,,,,,0.3964,1389.0,,
1390,,,,,-1.7577,1390.0,,,,,,,,,,,,,,-1.0872,1390.0,,
1391,,,,,-1.8409,1391.0,,,,,,,,,,,,,,0.2958,1391.0,,
1392,,,,,-0.2103,1392.0,,,,,,,,,,,,,,0.5691,1392.0,,
1393,,,,,0.7574,1393.0,,,,,,,,,,,,,,0.4005,1393.0,,
1394,,,,,0.3407,1394.0,,,,,,,,,,,,,,0.3354,1394.0,,
1395,,,,,-0.9984,1395.0,,,,,,,,,,,,,,1.263,1395.0,,
1396,,,,,-0.2244,1396.0,,,,,,,,,,,,,,0.2821,1396.0,,
1397,,,,,-0.4685,1397.0,,,,,,,,,,,,,,-0.1092,1397.0,,
1398,,,,,-0.3952,1398.0,,,,,,,,,,,,,,0.4041,1398.0,,
1399,,,,,-0.72,1399.0,,,,,,,,,,,,,,0.1277,1399.0,,
1400,,,,,-0.9979,1400.0,,,,,,,,,,,,,,-0.9147,1400.0,,
1401,,,,,0.2689,1401.0,,,,,,,,,,,,,,0.203,1401.0,,
1402,,,,,-0.5143,1402.0,,,,,,,,,,,,,,1.3104,1402.0,,
1403,,,,,-1.5535,1403.0,,,,,,,,,,,,,,0.4791,1403.0,,
1404,,,,,-1.9348,1404.0,,,,,,,,,,,,,,-1.2801,1404.0,,
1405,,,,,-1.3058,1405.0,,,,,,,,,,,,,,-0.8027,1405.0,,
1406,,,,,-0.1716,1406.0,,,,,,,,,,,,,,0.1131,1406.0,,
1407,,,,,0.3112,1407.0,,,,,,,,,,,,,,0.4679,1407.0,,
1408,,,,,-1.5585,1408.0,,,,,,,,,,,,,,-1.1415,1408.0,,
1409,,,,,-0.6395,1409.0,,,,,,,,,,,,,,-0.3187,1409.0,,
1410,,,,,-0.7493,1410.0,,,,,,,,,,,,,,-0.2112,1410.0,,
1411,,,,,-1.5887,1411.0,,,,,,,,,,,,,,-1.2993,1411.0,,
1412,,,,,-0.2493,1412.0,,,,,,,,,,,,,,0.3513,1412.0,,
1413,,,,,1.5291,1413.0,,,,,,,,,,,,,,1.1685,1413.0,,
1414,,,,,0.0175,1414.0,,,,,,,,,,,,,,-0.0566,1414.0,,
1415,,,,,1.2637,1415.0,,,,,,,,,,,,,,0.6352,1415.0,,
1416,,,,,-1.5143,1416.0,,,,,,,,,,,,,,-0.9422,1416.0,,
1417,,,,,-0.8019,1417.0,,,,,,,,,,,,,,0.0918,1417.0,,
1418,,,,,-1.0366,1418.0,,,,,,,,,,,,,,-0.7312,1418.0,,
1419,,,,,-0.1602,1419.0,,,,,,,,,,,,,,0.6147,1419.0,,
1420,,,,,-1.152,1420.0,,,,,,,,,,,,,,-0.1879,1420.0,,
1421,,,,,-0.4942,1421.0,,,,,,,,,,,,,,0.5549,1421.0,,
1422,,,,,1.339,1422.0,,,,,,,,,,,,,,1.7341,1422.0,,
1423,,,,,0.906,1423.0,,,,,,,,,,,,,,-0.3938,1423.0,,
1424,,,,,-0.5725,1424.0,,,,,,,,,,,,,,-0.2797,1424.0,,
1425,,,,,-1.2552,1425.0,,,,,,,,,,,,,,-0.0919,1425.0,,
1426,,,,,-0.3621,1426.0,,,,,,,,,,,,,,-0.4779,1426.0,,
1427,,,,,-0.8467,1427.0,,,,,,,,,,,,,,-0.2025,1427.0,,
1428,,,,,-1.0115,1428.0,,,,,,,,,,,,,,-0.3939,1428.0,,
1429,,,,,-1.3293,1429.0,,,,,,,,,,,,,,-0.0817,1429.0,,
1430,,,,,-0.6823,1430.0,,,,,,,,,,,,,,0.0567,1430.0,,
1431,,,,,-1.5273,1431.0,,,,,,,,,,,,,,-0.4444,1431.0,,
1432,,,,,-0.5612,1432.0,,,,,,,,,,,,,,-0.86,1432.0,,
1433,,,,,-1.0799,1433.0,,,,,,,,,,,,,,-0.4819,1433.0,,
1434,,,,,0.1015,1434.0,,,,,,,,,,,,,,-0.1497,1434.0,,
1435,,,,,-1.3603,1435.0,,,,,,,,,,,,,,-0.6545,1435.0,,
1436,,,,,-0.5365,1436.0,,,,,,,,,,,,,,0.0679,1436.0,,
1437,,,,,-1.0539,1437.0,,,,,,,,,,,,,,-0.758,1437.0,,
1438,,,,,-0.6047,1438.0,,,,,,,,,,,,,,-0.9892,1438.0,,
1439,,,,,-1.7254,1439.0,,,,,,,,,,,,,,-0.5332,1439.0,,
1440,,,,,0.5589,1440.0,,,,,,,,,,,,,,0.6986,1440.0,,
1441,,,,,-0.3701,1441.0,,,,,,,,,,,,,,-1.0212,1441.0,,
1442,,,,,-0.5427,1442.0,,,,,,,,,,,,,,0.2451,1442.0,,
1443,,,,,-0.0567,1443.0,,,,,,,,,,,,,,-0.7764,1443.0,,
1444,,,,,0.2301,1444.0,,,,,,,,,,,,,,0.5138,1444.0,,
1445,,,,,0.1616,1445.0,,,,,,,,,,,,,,-0.2343,1445.0,,
1446,,,,,-0.0715,1446.0,,,,,,,,,,,,,,-0.9502,1446.0,,
1447,,,,,0.3478,1447.0,,,,,,,,,,,,,,0.4132,1447.0,,
1448,,,,,0.3792,1448.0,,,,,,,,,,,,,,0.6113,1448.0,,
1449,,,,,-1.2063,1449.0,,,,,,,,,,,,,,-0.2729,1449.0,,
1450,,,,,-0.488,1450.0,,,,,,,,,,,,,,0.2191,1450.0,,
1451,,,,,0.3466,1451.0,,,,,,,,,,,,,,0.2488,1451.0,,
1452,,,,,0.6621,1452.0,,,,,,,,,,,,,,0.4272,1452.0,,
